"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
="0050","元大台灣50","","58,000","4,628,650","4,623,450",
="0051","元大中型100","","0","0","0",
="0052","富邦科技","Y","1,000","53,600","53,200",
="0053","元大電子","","0","0","0",
="0054","元大台商50","","0","0","0",
="0055","元大MSCI金融","","0","0","0",
="0056","元大高股息","","25,000","633,540","633,990",
="0057","富邦摩台","","0","0","0",
="0058","富邦發達","","1,000","45,610","45,780",
="0059","富邦金融","","0","0","0",
="0061","元大寶滬深","","9,000","165,630","165,330",
="006203","元大MSCI台灣","","0","0","0",
="006204","永豐臺灣加權","","0","0","0",
="006205","富邦上証","","507,000","15,622,190","15,600,920",
="006206","元大上證50","","6,000","185,450","187,010",
="006207","FH滬深","","23,000","537,030","536,290",
="006208","富邦台50","","0","0","0",
="00631L","元大台灣50正2","","174,000","6,079,760","6,085,810",
="00632R","元大台灣50反1","","1,497,000","19,413,980","19,432,190",
="00633L","富邦上証正2","","6,442,000","264,441,040","262,901,720",
="00634R","富邦上証反1","","0","0","0",
="00635U","元大S&P黃金","","33,000","661,030","661,640",
="00636","國泰中國A50","","147,000","2,943,010","2,952,770",
="00637L","元大滬深300正2","","18,857,000","292,369,310","291,315,720",
="00638R","元大滬深300反1","","5,000","74,280","74,260",
="00639","富邦深100","","672,000","7,421,770","7,416,860",
="00640L","富邦日本正2","","0","0","0",
="00641R","富邦日本反1","","0","0","0",
="00642U","元大S&P石油","","24,000","495,080","495,220",
="00643","群益深証中小","","7,000","105,000","105,130",
="00645","富邦日本","","0","0","0",
="00646","元大S&P500","","0","0","0",
="00647L","元大S&P500正2","","0","0","0",
="00648R","元大S&P500反1","","2,000","27,780","27,800",
="00649","FH香港","","0","0","0",
="00650L","FH香港正2","","0","0","0",
="00651R","FH香港反1","","1,000","8,200","8,210",
="00652","富邦印度","","2,000","45,960","45,800",
="00653L","富邦印度正2","","0","0","0",
="00654R","富邦印度反1","","0","0","0",
="00655L","國泰中國A50正2","","1,183,000","35,632,190","35,528,780",
="00656R","國泰中國A50反1","","5,000","69,200","69,750",
="00657","國泰日經225","","0","0","0",
="00658L","國泰日本正2","","0","0","0",
="00659R","國泰日本反1","","0","0","0",
="00660","元大歐洲50","","0","0","0",
="00661","元大日經225","","0","0","0",
="00662","富邦NASDAQ","","0","0","0",
="00663L","國泰臺灣加權正2","","0","0","0",
="00664R","國泰臺灣加權反1","","331,000","4,848,420","4,858,600",
="00665L","富邦�琤肭磪囓�2","","84,000","2,824,150","2,827,000",
="00666R","富邦�琤肭磪齯�1","","0","0","0",
="00667","元大韓國","","0","0","0",
="00668","國泰美國道瓊","","0","0","0",
="00669R","國泰美國道瓊反1","","10,000","141,800","141,800",
="00670L","富邦NASDAQ正2","","11,000","324,670","324,750",
="00671R","富邦NASDAQ反1","","0","0","0",
="00672L","元大S&P原油正2","","26,000","646,470","647,460",
="00673R","元大S&P原油反1","","6,000","88,010","87,860",
="00674R","元大S&P黃金反1","","2,000","38,040","38,020",
="00675L","富邦臺灣加權正2","","18,000","257,030","256,490",
="00676R","富邦臺灣加權反1","","38,000","302,350","302,490",
="00677U","富邦VIX","","2,304,000","17,979,320","18,003,500",
="00678","群益NBI生技","","0","0","0",
="00680L","元大美債20正2","","0","0","0",
="00681R","元大美債20反1","","0","0","0",
="00682U","元大美元指數","","0","0","0",
="00683L","元大美元指數正2","","40,000","670,210","669,610",
="00684R","元大美元指數反1","","0","0","0",
="00685L","群益臺灣加權正2","","0","0","0",
="00686R","群益臺灣加權反1","","0","0","0",
="00688L","國泰20年美債正2","","100,000","1,875,000","1,875,000",
="00689R","國泰20年美債反1","","100,000","1,977,000","1,977,040",
="00690","兆豐藍籌30","","142,000","3,088,460","3,088,700",
="00691R","兆豐藍籌30反一","","0","0","0",
="00692","富邦公司治理","","168,000","3,527,470","3,522,790",
="00693U","華頓S&P黃豆","","3,000","61,230","61,290",
="00698L","元大美債7-10正2","","0","0","0",
="00699R","元大美債7-10反1","","0","0","0",
="00700","富邦恆生國企","","0","0","0",
="00701","國泰臺灣低波動30","","1,000","20,890","20,920",
="00702","國泰標普低波高息","","0","0","0",
="00703","台新MSCI中國","","2,000","43,340","43,520",
="00704L","台新MSCI台灣正2","","0","0","0",
="00705R","台新MSCI台灣反1","","1,000","18,550","18,650",
="00706L","元大S&P日圓正2","","2,000","38,840","38,760",
="00707R","元大S&P日圓反1","","0","0","0",
="00708L","元大S&P黃金正2","","74,000","1,409,790","1,410,480",
="00709","富邦歐洲","","100,000","2,075,500","2,075,500",
="00710B","FH彭博高收益債","","0","0","0",
="00711B","FH彭博新興債","","0","0","0",
="00712","FH富時不動產","","0","0","0",
="00713","元大台灣高息低波","","0","0","0",
="00714","群益道瓊美國地產","","100,000","1,840,000","1,840,000",
="00715L","華頓S&P布蘭特正2","","169,000","4,845,510","4,843,180",
="00716R","華頓S&P布蘭特反1","","5,000","80,000","79,950",
="00717","富邦美國特別股","","83,000","1,605,270","1,605,850",
="00728","第一金工業30","","3,000","57,400","57,410",
="00729R","第一金工業30反1","","0","0","0",
="00730","富邦臺灣優質高息","","20,000","389,200","389,200",
="00731","FH富時高息低波","","0","0","0",
="008201","BP上證50","","0","0","0",
"1101","台泥","","1,366,000","55,960,100","56,139,850",
"1102","亞泥","","1,866,000","59,800,600","60,142,150",
"1103","嘉泥","","46,000","550,550","554,150",
"1104","環泥","","10,000","219,000","220,000",
"1108","幸福","","2,000","15,290","15,270",
"1109","信大","","0","0","0",
"1110","東泥","","0","0","0",
"1201","味全","","62,000","1,474,200","1,469,600",
"1203","味王","","0","0","0",
"1210","大成","","418,000","15,732,600","15,789,700",
"1213","大飲","","1,000","14,850","14,650",
"1215","卜蜂","","47,000","2,962,500","2,965,600",
"1216","統一","","486,000","34,264,500","34,252,000",
"1217","愛之味","","15,000","113,140","112,890",
"1218","泰山","","49,000","837,550","841,150",
"1219","福壽","","2,000","37,150","37,200",
"1220","台榮","","0","0","0",
"1225","福懋油","","0","0","0",
"1227","佳格","","33,000","2,204,400","2,222,700",
"1229","聯華","","315,000","11,780,250","11,759,100",
"1231","聯華食","","0","0","0",
"1232","大統益","","0","0","0",
"1233","天仁","","3,000","113,250","114,000",
"1234","黑松","","0","0","0",
"1235","興泰","","0","0","0",
"1236","宏亞","","0","0","0",
"1256","鮮活果汁-KY","","96,000","16,803,000","16,861,500",
"1262","綠悅-KY","","152,000","5,750,450","5,780,100",
"1301","台塑","","305,000","31,933,000","32,068,500",
"1303","南亞","","393,000","32,314,200","32,480,100",
"1304","台聚","","13,000","188,200","189,100",
"1305","華夏","","330,000","10,459,550","10,462,950",
"1307","三芳","","0","0","0",
"1308","亞聚","","1,000","17,800","17,900",
"1309","台達化","","108,000","1,347,150","1,344,100",
"1310","台苯","","31,000","667,250","668,600",
"1312","國喬","","1,980,000","65,833,450","65,913,300",
"1313","聯成","","34,000","677,650","678,350",
"1314","中石化","","1,003,000","13,040,300","13,053,850",
"1315","達新","","0","0","0",
"1316","上曜","","42,000","940,800","932,000",
"1319","東陽","","20,000","1,065,000","1,062,100",
"1321","大洋","","19,000","529,800","533,300",
"1323","永裕","","6,000","206,600","206,850",
"1324","地球","","0","0","0",
"1325","恆大","","1,000","18,000","18,100",
"1326","台化","","438,000","48,069,000","48,298,500",
"1337","再生-KY","","58,000","648,500","648,900",
"1338","廣華-KY","","8,000","817,500","819,000",
"1339","昭輝","","0","0","0",
"1340","勝悅-KY","","0","0","0",
"1402","遠東新","","675,000","19,211,650","19,268,000",
"1409","新纖","","80,000","817,350","819,400",
"1410","南染","","0","0","0",
"1414","東和","","43,000","337,620","337,110",
"1416","廣豐","","10,000","172,100","172,000",
"1419","新紡","","0","0","0",
