"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
"1423","利華","","339,000","3,614,900","3,604,550",
"1432","大魯閣","","41,000","425,850","428,750",
"1434","福懋","","64,000","2,164,200","2,182,900",
"1436","華友聯","","4,000","158,300","160,350",
"1437","勤益控","","2,000","38,600","38,900",
"1439","中和","","3,604,000","188,152,050","189,258,800",
"1440","南紡","","8,000","105,200","105,250",
"1442","名軒","","0","0","0",
"1444","力麗","","764,000","8,614,350","8,596,350",
"1445","大宇","","1,000","8,360","8,390",
"1446","宏和","","1,000","22,000","21,950",
"1447","力鵬","","788,000","6,630,760","6,587,100",
"1451","年興","","0","0","0",
"1452","宏益","","1,000","20,750","20,850",
"1453","大將","","108,000","1,203,900","1,203,900",
"1454","台富","","1,000","8,350","8,400",
"1455","集盛","","112,000","1,158,900","1,160,600",
"1456","怡華","","0","0","0",
"1457","宜進","","112,000","1,578,900","1,578,700",
"1459","聯發","","9,000","78,710","78,840",
"1460","宏遠","","6,000","73,900","74,600",
"1463","強盛","","6,000","133,350","133,700",
"1464","得力","","9,000","227,050","227,950",
"1465","偉全","","0","0","0",
"1466","聚隆","","0","0","0",
"1467","南緯","","697,000","7,002,120","6,989,080",
"1470","大統染","","0","0","0",
"1473","台南","","0","0","0",
"1474","弘裕","","5,000","58,750","58,800",
"1476","儒鴻","","101,000","36,290,000","36,223,000",
"1477","聚陽","","555,000","80,339,000","80,239,000",
"1503","士電","","2,000","82,300","82,700",
"1504","東元","","105,000","2,541,700","2,548,100",
"1506","正道","","273,000","5,938,200","5,917,850",
"1507","永大","","24,000","1,225,600","1,231,000",
"1513","中興電","","154,000","3,244,150","3,242,400",
"1514","亞力","","2,153,000","33,119,450","33,222,100",
"1515","力山","","49,000","2,155,700","2,162,600",
"1516","川飛","","34,000","553,050","564,100",
"1517","利奇","","3,000","31,200","31,200",
"1519","華城","","2,865,000","71,662,250","71,745,450",
"1521","大億","","4,000","326,700","326,300",
"1522","堤維西","","16,000","468,300","469,650",
"1524","耿鼎","","0","0","0",
"1525","江申","","7,000","585,700","586,900",
"1526","日馳","","5,000","297,100","299,100",
"1527","鑽全","","178,000","9,643,200","9,683,900",
"1528","恩德","","874,000","14,497,950","14,505,350",
"1530","亞崴","","2,000","65,000","64,800",
"1531","高林股","","3,000","62,550","62,750",
"1532","勤美","","85,000","2,649,500","2,639,700",
"1533","車王電","","0","0","0",
"1535","中宇","","0","0","0",
"1536","和大","","199,000","26,344,000","26,279,000",
"1537","廣隆","","1,000","142,000","143,000",
"1539","巨庭","","0","0","0",
"1540","喬福","","4,000","59,600","59,400",
"1541","錩泰","","2,000","69,300","69,050",
"1558","伸興","","0","0","0",
"1560","中砂","","84,000","6,449,900","6,411,400",
"1568","倉佑","","46,000","1,312,650","1,317,200",
"1582","信錦","","5,000","324,000","323,800",
"1583","程泰","","2,000","122,000","122,600",
"1589","永冠-KY","","1,205,000","90,321,500","90,563,800",
"1590","亞德客-KY","","143,000","72,014,500","71,604,500",
"1592","英瑞-KY","","8,000","253,050","255,750",
"1598","岱宇","","0","0","0",
"1603","華電","","1,000","26,050","26,300",
"1604","聲寶","","20,000","266,850","266,300",
"1605","華新","","3,179,000","63,454,950","63,407,550",
"1608","華榮","","160,000","1,934,250","1,935,350",
"1609","大亞","","13,497,000","202,671,950","202,746,450",
"1611","中電","","202,000","2,456,900","2,452,950",
"1612","宏泰","","42,000","479,400","481,100",
"1614","三洋電","","0","0","0",
"1615","大山","","778,000","16,747,800","16,721,550",
"1617","榮星","","0","0","0",
"1618","合機","","55,000","509,670","514,410",
"1626","艾美特-KY","","5,000","111,750","112,400",
"1701","中化","","707,000","14,953,500","14,929,250",
"1702","南僑","","0","0","0",
"1704","榮化","","42,000","1,841,450","1,849,400",
"1707","葡萄王","","124,000","30,814,500","30,754,500",
"1708","東鹼","","0","0","0",
"1709","和益","","0","0","0",
"1710","東聯","","372,000","11,824,050","11,834,000",
"1711","永光","","0","0","0",
"1712","興農","","0","0","0",
"1713","國化","","1,000","17,500","17,550",
"1714","和桐","","38,000","312,720","314,360",
"1717","長興","","9,000","252,150","255,950",
"1718","中纖","","175,000","1,715,490","1,719,170",
"1720","生達","","525,000","19,614,000","19,648,550",
"1721","三晃","","1,000","12,050","12,050",
"1722","台肥","","65,000","2,610,300","2,608,650",
"1723","中碳","","41,000","6,449,500","6,449,000",
"1724","台硝","","2,000","27,950","28,100",
"1725","元禎","","0","0","0",
"1726","永記","","4,000","323,700","325,600",
"1727","中華化","","0","0","0",
"1730","花仙子","","0","0","0",
"1731","美吾華","","6,000","85,250","86,350",
"1733","五鼎","","10,000","301,400","300,750",
"1734","杏輝","","36,000","837,400","839,350",
"1735","日勝化","","55,000","890,650","884,100",
"1736","喬山","","6,000","180,350","182,100",
"1737","臺鹽","","6,000","172,250","172,550",
"1762","中化生","","29,000","726,850","729,000",
"1773","勝一","","1,000","81,300","81,100",
"1776","展宇","","0","0","0",
"1783","和康生","","2,509,000","86,881,550","86,989,500",
"1786","科妍","","803,000","58,461,100","58,518,000",
"1789","神隆","","13,000","418,600","420,500",
"1802","台玻","","251,000","4,916,250","4,930,500",
"1806","冠軍","","759,000","6,252,220","6,256,050",
"1808","潤隆","","229,000","13,089,100","13,171,800",
"1809","中釉","","14,000","170,600","171,750",
"1810","和成","","11,000","106,010","106,630",
"1817","凱撒衛","","1,000","41,050","41,000",
"1902","台紙","","9,000","163,200","163,850",
"1903","士紙","","0","0","0",
"1904","正隆","","942,000","16,027,100","16,062,750",
"1905","華紙","","37,000","407,050","408,700",
"1906","寶隆","","15,000","386,650","389,450",
"1907","永豐餘","","654,000","8,422,550","8,435,250",
"1909","榮成","","299,000","10,559,600","10,563,650",
"2002","中鋼","","2,345,000","55,682,200","55,732,350",
"2006","東和鋼鐵","","302,000","7,360,250","7,427,450",
"2008","高興昌","","6,000","73,900","75,000",
"2009","第一銅","","129,000","1,450,500","1,463,250",
"2010","春源","","2,000","22,600","22,600",
"2012","春雨","","0","0","0",
"2013","中鋼構","","4,093,000","117,389,000","117,655,950",
"2014","中鴻","","262,000","2,775,000","2,765,100",
"2015","豐興","","6,000","358,600","359,200",
"2017","官田鋼","","14,000","149,850","149,750",
"2020","美亞","","5,000","78,000","78,350",
"2023","燁輝","","41,000","422,300","424,250",
"2024","志聯","","7,000","78,600","79,350",
"2027","大成鋼","","5,801,000","194,925,450","195,289,750",
"2029","盛餘","","0","0","0",
"2030","彰源","","63,000","1,025,350","1,022,100",
"2031","新光鋼","","8,340,000","346,186,150","346,513,300",
"2032","新鋼","","8,000","84,300","84,150",
"2033","佳大","","22,000","277,000","279,450",
"2034","允強","","3,000","79,650","79,500",
"2038","海光","","1,204,000","16,659,300","16,762,400",
"2049","上銀","","2,815,000","1,201,705,500","1,188,710,000",
"2059","川湖","","15,000","6,233,000","6,271,000",
"2062","橋椿","","18,000","667,750","669,100",
"2069","運錩","","0","0","0",
"2101","南港","","11,000","273,850","275,900",
"2102","泰豐","","8,000","102,550","103,050",
"2103","台橡","","24,000","715,100","720,950",
"2104","中橡","","91,000","3,894,750","3,909,100",
"2105","正新","","256,000","12,143,750","12,140,650",
"2106","建大","","20,000","686,000","688,400",
"2107","厚生","","2,000","29,900","30,050",
"2108","南帝","","61,000","1,546,800","1,547,050",
"2114","鑫永銓","","0","0","0",
"2115","六暉-KY","","0","0","0",
"2201","裕隆","","173,000","3,930,150","3,946,350",
"2204","中華","","16,000","446,100","447,900",
"2206","三陽工業","","127,000","2,651,400","2,665,250",
"2207","和泰車","","21,000","6,126,000","6,145,500",
"2227","裕日車","","3,000","771,000","774,000",
"2228","劍麟","","2,000","177,500","177,000",
"2231","為升","","961,000","359,395,500","362,327,500",
"2236","百達-KY","","0","0","0",
"2239","英利-KY","","4,000","599,500","603,500",
"2243","宏旭-KY","","11,000","372,800","386,500",
"2301","光寶科","","169,000","6,528,000","6,528,400",
"2303","聯電","","20,543,000","338,721,650","338,810,750",
"2305","全友","","71,000","621,120","623,230",
"2308","台達電","","644,000","69,861,500","69,869,000",
"2312","金寶","","472,000","4,940,650","4,962,550",
"2313","華通","","9,266,000","288,040,800","289,957,150",
"2314","台揚","","35,000","908,350","912,650",
"2316","楠梓電","","9,000","141,900","142,550",
"2317","鴻海","","4,295,000","355,573,000","355,252,300",
"2324","仁寶","","881,000","17,202,050","17,204,450",
"2327","國巨","","6,688,000","4,349,397,000","4,357,428,000",
"2328","廣宇","","497,000","9,996,200","10,024,850",
"2330","台積電","","4,306,000","968,420,000","968,061,000",
"2331","精英","","22,000","378,050","375,450",
"2332","友訊","","182,000","2,002,650","2,005,900",
"2337","旺宏","","10,980,000","507,571,400","505,027,750",
"2338","光罩","","30,000","505,250","507,300",
"2340","光磊","","77,000","1,704,900","1,704,650",
"2342","茂矽","","55,000","1,752,250","1,732,350",
"2344","華邦電","","17,867,000","332,160,950","331,213,650",
"2345","智邦","","5,462,000","393,832,900","394,952,600",
"2347","聯強","","347,000","14,735,750","14,837,900",
"2348","海悅","","1,000","39,300","39,400",
"2351","順德","","173,000","12,217,400","12,216,200",
"2352","佳世達","","1,130,000","22,935,750","22,900,000",
"2353","宏��","","3,258,000","74,191,000","74,127,150",
"2354","鴻準","","172,000","12,786,200","12,835,500",
"2355","敬鵬","","9,018,000","353,415,350","358,488,500",
"2356","英業達","","359,000","8,131,650","8,166,300",
"2357","華碩","","17,000","4,744,500","4,749,000",
"2358","廷鑫","","5,000","98,050","99,600",
"2359","所羅門","","42,000","866,100","873,100",
"2360","致茂","","939,000","145,517,000","146,744,000",
"2362","藍天","","3,000","87,750","87,950",
"2363","矽統","","1,958,000","17,211,930","17,346,380",
"2365","昆盈","","29,000","293,100","293,400",
"2367","燿華","","10,887,000","226,043,800","226,986,600",
"2368","金像電","","1,313,000","12,507,580","12,521,610",
"2369","菱生","","7,000","87,700","87,800",
"2371","大同","","4,473,000","99,313,550","99,080,800",
"2373","震旦行","","23,000","2,038,400","2,053,100",
"2374","佳能","","25,000","433,200","437,250",
"2375","智寶","","913,000","43,143,350","43,204,150",
"2376","技嘉","","766,000","50,097,600","50,010,600",
"2377","微星","","688,000","64,492,300","64,772,400",
"2379","瑞昱","","293,000","32,982,500","33,097,500",
"2380","虹光","","0","0","0",
"2382","廣達","","390,000","21,120,900","21,056,300",
"2383","台光電","","319,000","23,277,300","23,299,100",
"2385","群光","","38,000","2,794,000","2,793,400",
"2387","精元","","0","0","0",
"2388","威盛","","13,888,000","464,493,300","460,815,950",
"2390","云辰","","72,000","754,500","752,150",
"2392","正崴","","58,000","2,251,400","2,259,350",
"2393","億光","","17,000","708,500","709,150",
"2395","研華","","24,000","4,853,500","4,844,000",
"2397","友通","","3,000","199,500","197,800",
"2399","映泰","","2,606,000","52,158,850","52,029,200",
"2401","凌陽","","53,000","763,800","765,050",
"2402","毅嘉","","61,000","979,550","980,700",
"2404","漢唐","","35,000","2,273,000","2,278,800",
"2405","浩鑫","","3,132,000","49,435,100","49,511,300",
"2406","國碩","","324,000","4,152,650","4,158,700",
"2408","南亞科","","1,923,000","178,244,600","177,410,700",
"2409","友達","","5,158,000","63,730,200","63,780,950",
"2412","中華電","","1,520,000","170,633,500","171,072,500",
"2413","環科","","10,000","212,900","212,300",
"2414","精技","","0","0","0",
"2415","錩新","","14,000","265,850","268,850",
"2417","圓剛","","10,000","122,250","122,350",
"2419","仲琦","","41,000","870,800","871,750",
"2420","新巨","","1,000","35,850","36,050",
"2421","建準","","898,000","33,402,600","33,599,200",
"2423","固緯","","0","0","0",
"2424","隴華","","0","0","0",
"2425","承啟","","187,000","4,874,550","4,877,850",
"2426","鼎元","","152,000","2,389,000","2,399,300",
"2427","三商電","","23,000","253,550","252,100",
"2428","興勤","","46,000","3,850,600","3,874,800",
"2430","燦坤","","58,000","1,435,350","1,435,600",
"2431","聯昌","","0","0","0",
"2433","互盛電","","0","0","0",
"2436","偉詮電","","48,000","1,266,500","1,273,650",
"2439","美律","","6,699,000","950,421,000","950,982,000",
"2441","超豐","","24,000","1,276,600","1,283,000",
"2442","新美齊","","8,000","63,330","63,650",
"2444","友旺","","145,000","4,138,150","4,173,200",
"2448","晶電","","17,135,000","693,632,250","692,561,700",
"2449","京元電子","","87,000","2,555,550","2,558,400",
"2450","神腦","","0","0","0",
"2451","創見","","29,000","2,428,500","2,443,900",
"2453","凌群","","9,000","126,000","125,500",
"2454","聯發科","","2,121,000","710,228,000","712,195,500",
"2455","全新","","3,232,000","310,357,300","309,263,400",
"2456","奇力新","","3,284,000","309,616,900","309,875,600",
"2457","飛宏","","22,000","237,150","237,700",
"2458","義隆","","140,000","6,039,200","6,059,600",
"2459","敦吉","","11,000","463,550","468,250",
"2460","建通","","3,000","41,700","42,200",
"2461","光群雷","","17,000","258,400","260,100",
"2462","良得電","","14,000","345,000","345,600",
"2464","盟立","","125,000","5,303,550","5,320,050",
"2466","冠西電","","21,000","753,900","753,700",
"2467","志聖","","15,000","396,200","399,000",
"2468","華經","","6,000","74,950","74,250",
"2471","資通","","0","0","0",
"2472","立隆電","","1,467,000","86,600,800","86,663,300",
"2474","可成","","1,572,000","530,337,000","530,809,000",
"2476","鉅祥","","4,000","101,550","101,800",
"2477","美隆電","","6,000","157,850","159,350",
"2478","大毅","","6,273,000","343,893,200","343,986,500",
"2480","敦陽科","","153,000","6,416,550","6,411,000",
"2481","強茂","","5,316,000","260,539,950","260,173,900",
"2482","連宇","","7,000","86,600","86,600",
"2483","百容","","3,000","65,700","65,950",
"2484","希華","","342,000","6,318,450","6,340,300",
"2485","兆赫","","63,000","1,581,350","1,592,350",
"2486","一詮","","15,000","138,560","139,440",
"2488","漢平","","3,000","75,450","75,950",
"2489","瑞軒","","419,000","5,548,800","5,574,950",
"2492","華新科","","16,525,000","3,305,486,000","3,317,053,000",
"2493","揚博","","0","0","0",
"2495","普安","","0","0","0",
"2496","卓越","","7,000","1,069,500","1,068,000",
"2497","怡利電","","0","0","0",
"2498","宏達電","","3,503,000","207,421,700","206,991,000",
"2499","東貝","","1,810,000","17,054,440","17,139,850",
"2501","國建","","52,000","908,750","912,700",
"2504","國產","","146,000","1,420,240","1,423,560",
"2505","國揚","","7,000","102,700","103,900",
"2506","太設","","0","0","0",
"2509","全坤建","","0","0","0",
"2511","太子","","22,000","257,400","259,250",
"2514","龍邦","","71,000","994,000","997,850",
"2515","中工","","245,000","1,864,460","1,867,700",
"2520","冠德","","12,000","232,950","232,900",
"2524","京城","","2,000","45,050","45,850",
"2527","宏璟","","3,000","87,150","87,450",
"2530","華建","","2,000","29,950","30,200",
"2534","宏盛","","745,000","26,110,400","26,169,650",
"2535","達欣工","","185,000","4,428,500","4,418,000",
"2536","宏普","","1,000","22,600","22,550",
"2537","聯上發","","0","0","0",
"2538","基泰","","268,000","2,907,600","2,904,350",
"2539","櫻花建","","0","0","0",
"2540","愛山林","","11,000","333,200","334,800",
"2542","興富發","","680,000","31,446,000","31,437,250",
"2543","皇昌","","0","0","0",
"2545","皇翔","","3,000","84,100","84,750",
"2546","根基","","0","0","0",
"2548","華固","","20,000","1,366,300","1,375,900",
"2597","潤弘","","2,000","77,100","76,300",
"2601","益航","","6,078,000","72,511,350","72,531,550",
"2603","長榮","","1,637,000","24,709,750","24,693,200",
"2605","新興","","19,000","332,250","335,600",
"2606","裕民","","84,000","2,985,550","2,990,400",
"2607","榮運","","32,000","428,500","431,400",
"2608","大榮","","0","0","0",
"2609","陽明","","289,000","2,985,000","2,990,100",
"2610","華航","","347,000","3,685,300","3,675,900",
"2611","志信","","175,000","1,256,940","1,280,750",
"2612","中航","","0","0","0",
"2613","中櫃","","10,000","130,000","130,500",
"2614","東森","","4,121,000","58,915,250","59,044,200",
"2615","萬海","","58,000","994,850","992,650",
"2616","山隆","","0","0","0",
"2617","台航","","1,431,000","25,114,600","25,143,250",
"2618","長榮航","","934,000","14,650,900","14,670,250",
"2633","台灣高鐵","","18,000","410,350","411,200",
"2634","漢翔","","98,000","3,413,800","3,410,600",
"2636","台驊投控","","3,000","69,850","70,200",
"2637","慧洋-KY","","7,000","198,800","198,700",
"2642","宅配通","","1,000","26,500","26,500",
"2701","萬企","","0","0","0",
"2702","華園","","0","0","0",
"2704","國賓","","8,000","182,350","182,600",
"2705","六福","","0","0","0",
"2706","第一店","","16,000","240,750","240,800",
"2707","晶華","","29,000","4,455,000","4,476,500",
"2712","遠雄來","","0","0","0",
"2722","夏都","","0","0","0",
"2723","美食-KY","","24,000","8,233,000","8,223,500",
"2727","王品","","18,000","2,161,500","2,157,000",
"2731","雄獅","","10,000","1,100,000","1,103,000",
"2739","寒舍","","0","0","0",
"2748","雲品","","0","0","0",
"2801","彰銀","","154,000","2,626,000","2,626,950",
"2809","京城銀","","50,000","1,786,150","1,786,750",
"2812","台中銀","","132,000","1,359,850","1,360,450",
"2816","旺旺保","","5,000","92,850","92,150",
"2820","華票","","35,000","502,750","504,500",
"2823","中壽","","248,000","7,983,200","7,953,750",
"2832","台產","","7,000","145,250","145,150",
"2834","臺企銀","","837,000","7,619,910","7,629,110",
"2836","高雄銀","","18,000","168,710","168,580",
"2838","聯邦銀","","0","0","0",
"2841","台開","","1,000","9,400","9,420",
"2845","遠東銀","","95,000","945,860","946,610",
"2849","安泰銀","","0","0","0",
"2850","新產","","22,000","705,800","717,650",
"2851","中再保","","1,000","18,950","19,000",
"2852","第一保","","61,000","843,150","842,300",
"2855","統一證","","0","0","0",
"2856","元富證","","1,091,000","12,090,300","12,067,600",
"2867","三商壽","","43,000","697,100","696,550",
"2880","華南金","","70,000","1,256,850","1,259,100",
"2881","富邦金","","537,000","27,479,900","27,510,000",
"2882","國泰金","","483,000","25,765,400","25,836,300",
"2883","開發金","","2,615,000","29,128,750","29,102,450",
"2884","玉山金","","420,000","8,782,650","8,765,300",
"2885","元大金","","1,167,000","16,798,350","16,896,350",
"2886","兆豐金","","389,000","10,196,300","10,193,300",
"2887","台新金","","261,000","3,788,750","3,795,400",
"2888","新光金","","1,853,000","22,431,700","22,495,600",
"2889","國票金","","157,000","1,638,300","1,639,900",
"2890","永豐金","","1,100,000","11,764,400","11,798,550",
"2891","中信金","","795,000","16,845,450","16,851,550",
"2892","第一金","","436,000","8,901,700","8,913,350",
"2897","王道銀行","","63,000","537,920","541,150",
"2901","欣欣","","1,000","25,300","25,800",
"2903","遠百","","1,097,000","21,751,700","21,801,450",
"2904","匯僑","","0","0","0",
"2905","三商","","29,000","701,450","708,050",
"2906","高林","","0","0","0",
"2908","特力","","23,000","530,000","534,000",
"2910","統領","","0","0","0",
"2911","麗嬰房","","2,307,000","34,665,600","34,603,100",
"2912","統一超","","98,000","28,855,500","28,923,500",
"2913","農林","","4,000","61,800","61,800",
"2915","潤泰全","","618,000","36,010,600","36,168,600",
"2929","淘帝-KY","","21,000","2,118,500","2,122,000",
"2936","客思達-KY","","0","0","0",
"3002","歐格","","0","0","0",
"3003","健和興","","7,000","356,800","356,700",
"3004","豐達科","","41,000","2,268,600","2,268,300",
"3005","神基","","19,000","806,850","803,700",
"3006","晶豪科","","256,000","9,980,750","9,962,350",
"3008","大立光","","477,000","1,739,910,000","1,750,165,000",
"3010","華立","","9,000","498,000","498,300",
"3011","今皓","","46,000","383,030","382,830",
"3013","晟銘電","","11,000","204,950","206,100",
"3014","聯陽","","18,000","630,850","630,500",
"3015","全漢","","6,000","143,700","143,550",
"3016","嘉晶","","1,980,000","72,281,000","72,496,200",
"3017","奇鋐","","78,000","2,099,500","2,109,450",
"3018","同開","","194,000","15,841,400","15,786,000",
"3019","亞光","","2,528,000","231,454,200","231,532,000",
"3021","鴻名","","20,000","318,750","319,850",
"3022","威強電","","7,000","244,550","245,100",
"3023","信邦","","24,000","1,881,500","1,876,800",
"3025","星通","","2,000","32,600","33,100",
"3026","禾伸堂","","9,356,000","1,404,059,500","1,405,656,500",
"3027","盛達","","0","0","0",
