"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
="0050","元大台灣50","","58,000","4,759,750","4,764,650",
="0051","元大中型100","","0","0","0",
="0052","富邦科技","","1,000","56,800","56,800",
="0053","元大電子","","0","0","0",
="0054","元大台商50","","0","0","0",
="0055","元大MSCI金融","","0","0","0",
="0056","元大高股息","","49,000","1,269,180","1,270,200",
="0057","富邦摩台","","0","0","0",
="0058","富邦發達","","0","0","0",
="0059","富邦金融","","0","0","0",
="0061","元大寶滬深","","23,000","421,960","425,290",
="006203","元大MSCI台灣","","0","0","0",
="006204","永豐臺灣加權","","0","0","0",
="006205","富邦上証","","480,000","15,064,980","15,059,210",
="006206","元大上證50","","71,000","2,232,470","2,219,450",
="006207","FH滬深","","0","0","0",
="006208","富邦台50","","1,000","47,870","48,040",
="00631L","元大台灣50正2","","304,000","11,100,200","11,136,580",
="00632R","元大台灣50反1","","1,042,000","13,264,860","13,278,820",
="00633L","富邦上証正2","","5,804,000","248,561,450","250,054,090",
="00634R","富邦上証反1","","5,000","35,420","35,530",
="00635U","元大S&P黃金","","0","0","0",
="00636","國泰中國A50","","403,000","8,201,390","8,240,600",
="00637L","元大滬深300正2","","27,887,000","452,045,770","454,017,040",
="00638R","元大滬深300反1","","13,000","187,780","188,550",
="00639","富邦深100","","1,005,000","11,400,740","11,412,230",
="00640L","富邦日本正2","","17,000","393,740","393,960",
="00641R","富邦日本反1","","0","0","0",
="00642U","元大S&P石油","","70,000","1,336,820","1,334,080",
="00643","群益深証中小","","279,000","4,348,150","4,350,920",
="00645","富邦日本","","0","0","0",
="00646","元大S&P500","","0","0","0",
="00647L","元大S&P500正2","","10,000","287,990","290,720",
="00648R","元大S&P500反1","","26,000","366,860","365,450",
="00649","FH香港","","0","0","0",
="00650L","FH香港正2","","28,000","993,100","1,003,890",
="00651R","FH香港反1","","3,000","24,750","24,930",
="00652","富邦印度","","1,000","22,350","22,510",
="00653L","富邦印度正2","","14,000","381,030","381,420",
="00654R","富邦印度反1","","0","0","0",
="00655L","國泰中國A50正2","","2,750,000","87,179,500","87,818,790",
="00656R","國泰中國A50反1","","10,000","130,490","135,770",
="00657","國泰日經225","","0","0","0",
="00658L","國泰日本正2","","0","0","0",
="00659R","國泰日本反1","","0","0","0",
="00660","元大歐洲50","","0","0","0",
="00661","元大日經225","","0","0","0",
="00662","富邦NASDAQ","","0","0","0",
="00663L","國泰臺灣加權正2","","3,000","102,410","103,260",
="00664R","國泰臺灣加權反1","","60,000","864,000","865,030",
="00665L","富邦H股正2","","282,000","9,311,680","9,385,330",
="00666R","富邦H股反1","","3,000","38,550","39,150",
="00667","元大韓國","","0","0","0",
="00668","國泰美國道瓊","","0","0","0",
="00669R","國泰美國道瓊反1","","23,000","327,990","326,940",
="00670L","富邦NASDAQ正2","","96,000","2,671,240","2,677,460",
="00671R","富邦NASDAQ反1","","0","0","0",
="00672L","元大S&P原油正2","","106,000","2,239,040","2,243,790",
="00673R","元大S&P原油反1","","48,000","762,980","762,820",
="00674R","元大S&P黃金反1","","0","0","0",
="00675L","富邦臺灣加權正2","","16,000","236,420","238,530",
="00676R","富邦臺灣加權反1","","121,000","944,170","947,830",
="00677U","富邦VIX","","2,131,000","19,532,300","19,554,080",
="00678","群益NBI生技","","0","0","0",
="00680L","元大美債20正2","","0","0","0",
="00681R","元大美債20反1","","0","0","0",
="00682U","元大美元指數","","0","0","0",
="00683L","元大美元指數正2","","0","0","0",
="00684R","元大美元指數反1","","0","0","0",
="00685L","群益臺灣加權正2","","0","0","0",
="00686R","群益臺灣加權反1","","0","0","0",
="00688L","國泰20年美債正2","","0","0","0",
="00689R","國泰20年美債反1","","0","0","0",
="00690","兆豐藍籌30","","0","0","0",
="00691R","兆豐藍籌30反一","","0","0","0",
="00692","富邦公司治理","","110,000","2,371,060","2,373,980",
="00693U","華頓S&P黃豆","","23,000","470,800","473,020",
="00698L","元大美債7-10正2","","0","0","0",
="00699R","元大美債7-10反1","","0","0","0",
="00700","富邦H股","","0","0","0",
="00701","國泰臺灣低波動30","","14,000","294,760","315,000",
="00702","國泰標普低波高息","","0","0","0",
="00703","台新MSCI中國","","21,000","453,270","455,450",
="00704L","台新MSCI台灣正2","","30,000","626,200","629,200",
="00705R","台新MSCI台灣反1","","0","0","0",
="00706L","元大S&P日圓正2","","0","0","0",
="00707R","元大S&P日圓反1","","0","0","0",
="00708L","元大S&P黃金正2","","6,000","118,550","118,940",
="00709","富邦歐洲","","100,000","1,973,700","1,974,020",
="00710B","FH彭博高收益債","","0","0","0",
="00711B","FH彭博新興債","","0","0","0",
="00712","FH富時不動產","","0","0","0",
="00713","元大台灣高息低波","","0","0","0",
="00714","群益道瓊美國地產","","0","0","0",
="00715L","華頓S&P布蘭特正2","","150,000","3,561,800","3,561,800",
