代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"1788","杏昌","3,000","0","3,000","0","0","0","3,000","0","3,000","0","0","0","0","0","0","0","0","0","0","0","0","3,000"
"1795","美時","466,000","418,000","48,000","0","0","0","466,000","418,000","48,000","40,000","0","40,000","18,000","129,000","-111,000","0","0","0","18,000","129,000","-111,000","-23,000"
"1796","金穎生技","5,000","0","5,000","0","0","0","5,000","0","5,000","0","0","0","0","0","0","0","0","0","0","0","0","5,000"
"1815","富喬","1,212,000","1,421,000","-209,000","0","0","0","1,212,000","1,421,000","-209,000","0","0","0","12,000","0","12,000","919,000","70,000","849,000","931,000","70,000","861,000","652,000"
"2061","風青","0","0","0","0","0","0","0","0","0","0","0","0","3,000","0","3,000","0","0","0","3,000","0","3,000","3,000"
"2063","世鎧","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","0","0","0","0","0","0","0","0","1,000"
"2066","世德","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","0","0","0","0","0","0","-2,000"
"2067","嘉鋼","0","0","0","0","0","0","0","0","0","0","0","0","0","4,000","-4,000","0","0","0","0","4,000","-4,000","-4,000"
"2221","大甲","4,000","18,000","-14,000","0","0","0","4,000","18,000","-14,000","0","0","0","7,000","0","7,000","0","0","0","7,000","0","7,000","-7,000"
"2233","宇隆","42,000","92,000","-50,000","0","0","0","42,000","92,000","-50,000","135,000","0","135,000","38,000","50,000","-12,000","45,000","49,000","-4,000","83,000","99,000","-16,000","69,000"
"2235","謚源","0","0","0","0","0","0","0","0","0","10,000","0","10,000","1,000","1,000","0","0","0","0","1,000","1,000","0","10,000"
"2640","大車隊","30,000","1,000","29,000","0","0","0","30,000","1,000","29,000","0","0","0","0","0","0","0","0","0","0","0","0","29,000"
