"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="06357P","大同凱基77售03","0","0","0","0","0","0","0","0","0","-26,000","0","0","0","150,000","176,000","-26,000","-26,000",
="03048X","元展45","0","0","0","0","0","0","0","0","0","-26,000","0","0","0","0","26,000","-26,000","-26,000",
="073585","可成統一79購01","0","0","0","0","0","0","0","0","0","-26,000","0","0","0","412,000","438,000","-26,000","-26,000",
"6189","豐藝","1,000","27,000","-26,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-26,000",
"2476","鉅祥","8,000","14,000","-6,000","0","0","0","0","0","0","-20,000","0","20,000","-20,000","0","0","0","-26,000",
="075475","陽明麥證79購01","0","0","0","566,000","593,000","-27,000","0","0","0","-27,000","0","0","0","566,000","593,000","-27,000","-27,000",
="074991","訊芯群益79購01","0","0","0","0","0","0","0","0","0","-27,000","0","0","0","152,000","179,000","-27,000","-27,000",
="077341","亞光凱基7A購02","0","0","0","0","0","0","0","0","0","-27,000","0","0","0","8,000","35,000","-27,000","-27,000",
="070279","聯發科永昌77購02","0","0","0","0","0","0","0","0","0","-27,000","0","0","0","197,000","224,000","-27,000","-27,000",
="069359","南亞科日盛75購01","0","0","0","0","0","0","0","0","0","-27,000","0","0","0","0","27,000","-27,000","-27,000",
="072972","訊芯元大77購03","0","0","0","0","0","0","0","0","0","-27,000","0","0","0","132,000","159,000","-27,000","-27,000",
"8201","無敵","23,000","50,000","-27,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-27,000",
="075342","奇力新兆豐79購02","0","0","0","0","0","0","0","0","0","-28,000","0","0","0","0","28,000","-28,000","-28,000",
="04008P","大立光元大76售03","0","0","0","0","0","0","0","0","0","-28,000","0","0","0","76,000","104,000","-28,000","-28,000",
="07060P","臺股指群益79售08","0","0","0","0","0","0","0","0","0","-28,000","0","0","0","33,000","61,000","-28,000","-28,000",
="069724","台勝科兆豐77購01","0","0","0","0","0","0","0","0","0","-28,000","0","0","0","22,000","50,000","-28,000","-28,000",
="07140P","儒鴻元富79售02","0","0","0","0","0","0","0","0","0","-28,000","0","0","0","30,000","58,000","-28,000","-28,000",
="073743","精英永豐78購01","0","0","0","0","0","0","0","0","0","-28,000","0","0","0","0","28,000","-28,000","-28,000",
"3504","揚明光","95,000","116,000","-21,000","0","0","0","0","0","0","-7,000","0","0","0","0","7,000","-7,000","-28,000",
"1231","聯華食","65,000","93,000","-28,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-28,000",
"2329","華泰","9,000","37,000","-28,000","0","0","0","0","0","0","0","0","0","0","0","0","0","-28,000",
