證券商代號,證券商名稱
592M,元富-彰化
592m,元富-成功
592N,元富-虎尾
592n,元富-西松
592o,元富-新興
592O,元富-民生
592P,元富-同大
592q,元富-屏東
592Q,元富-敦南
592r,元富-城東
592S,元富-基隆
592u,元富-世貿
592U,元富-宜蘭
592V,元富-民權
592v,元富-桃園
592W,元富-吉利
592w,元富-佳里
592X,元富-草屯
592x,元富-中山
592Y,元富-埔里
592y,元富-花蓮
592z,元富-文心
592Z,元富-安南
5960,日茂
5961,日茂-埔里
5962,日茂-南投
5963,日茂-竹山
5964,日茂-霧峰
6010,?亞證券
6012,?亞-網路
6110,台中商銀
6114,台中商銀-員林
6115,台中商銀-台北
6116,台中商銀-中壢
6160,中國信託
6161,中國信託-三重
6162,中國信託-忠孝
6163,中國信託-永康
6164,中國信託-文心
6165,中國信託-新竹
6166,中國信託-桃園
6167,中國信託-松江
616K,中國信託-高雄
6210,新百王
6380,光和
6381,光和-溪湖
6382,光和-田中
6383,光和-和美
6385,光和-花壇
6386,光和-虎尾
6450,永全
6451,永全-南崁
6452,永全-八德
6460,大昌
6461,大昌-樹林
6462,大昌-安康
6463,大昌-新竹
6464,大昌-新店
6465,大昌-桃園
6480,福邦
6530,大眾
6531,大眾-左楠
6532,大眾-松江
6533,大眾-台南
6534,大眾-中山
6535,大眾-大安
6536,大眾-新莊
6537,大眾-松山
6538,大眾-新營
6539,大眾-永康
653A,大眾-台東
653B,大眾-屏東
653C,大眾-通營
653D,大眾-新板
653E,大眾 - 鳳山
653J,大眾南台中
6620,全泰
6640,渣打商銀
6641,渣打商銀-新明
6642,渣打商銀-新興
6645,渣打商銀-竹南
6648,渣打商銀-新社
664A,渣打商銀-南崁
664C,渣打商銀-西湖
664D,渣打商銀-三多
664E,渣打商銀-文心
664F,渣打商銀-仁愛
664G,渣打-板橋
6660,和興
6910,德信
6911,德信-台北
6912,德信-中正
6913,德信-新營
6914,德信-三重
6915,德信-和平
6950,福勝
7000,兆豐
7001,兆豐-嘉義
7003,兆豐-台中
7004,兆豐-東高雄
7005,兆豐-台中港
7006,兆豐-台南
7007,兆豐-竹北
7008,兆豐-三重
7009,兆豐-景美
700a,兆豐-忠孝
700B,兆豐-板橋
700b,兆豐-中壢
700C,兆豐-來福
700c,兆豐-民生
700d,兆豐-彰化
700D,兆豐-西螺
700E,兆豐-斗南
700F,兆豐-虎尾
700f,兆豐-鹿港
700G,兆豐-麻豆
700g,兆豐-南門
700H,兆豐-東門
700h,兆豐-三民
700i,兆豐-松德
700I,兆豐-北高雄
700j,兆豐-大安
700J,兆豐-公益
700k,兆豐-員林
700K,兆豐-新營
700L,兆豐-天母
700M,兆豐-桃園
700N,兆豐-埔墘
700p,兆豐-復興
700P,兆豐-南京
700q,兆豐-內湖
700r,兆豐-寶成
700R,兆豐-小港
700S,兆豐-大同
700s,兆豐-岡山
700U,兆豐-桃鶯
700V,兆豐-新竹
700W,兆豐-城中
700w,兆豐-新莊
700X,兆豐-永和
700Y,兆豐-世貿
700Z,兆豐-高雄
7020,信富
7030,致和
7031,致和-台北
7032,致和-佳里
7033,致和-府前
7034,致和-金華
7035,致和-東門
7036,致和-高雄
7037,致和-台北中山
7038,致和-南京
703A,致和-日陞
703B,致和-崇德
703C,致和-恆春
7070,豐農
7080,石橋
7081,石橋-台北
7120,台安
7670,金港
7671,金港-博愛
7690,金興
7750,北城
7752,北城-雙和
7780,富星
7781,富星-斗南
7782,富星-北港
7783,富星-斗六
7790,國票
7791,國票-台東
7792,國票-北投
7795,國票-南港
7797,國票-中正
7798,國票-內壢
779c,國票-敦北
779D,國票-台南
779e,國票-新化
779E,國票-南崁
779F,國票-東高雄
779G,國票-新莊
779H,國票-嘉義
779I,國票-北台中
779J,國票-北高雄
779j,國票-和平
779L,國票-蘆洲
779m,國票-中港
779n,國票-松江
779P,國票-九鼎
779p,國票-板橋
779r,國票-桃園
779u,國票-長城
779v,國票-西屯
779V,國票-天祥
779w,國票-景新
779W,國票-彰化
779X,國票-中和
779Z,國票-安和
779z,國票-博愛
7900,金豐
8150,台新
815A,台新-高雄
815B,台新-台中
8380,安泰
8381,安泰-大發
8382,安泰-楠梓
8440,摩根大通
8450,康和
8451,康和-延平
8454,康和-新營
8455,康和-台中
8456,康和-新竹
8458,康和-台南
8459,康和-嘉義
845A,康和-內湖
845B,康和-永和
845C,康和-太平
845D,康和-板橋
845E,康和-澎湖
845F,康和-仁愛
845H,康和-東湖
845I,康和-新店
845J,康和-高雄
845N,康和-員林
845P,康和-板新
845Q,康和-城中
845R,康和-石牌
845S,康和-南崁
845U,康和-台北
845V,康和-新莊
845X,康和-屏東
8490,萬泰
8520,中農
8560,新光
8561,新光-台中
8562,新光 - 高雄
8563,新光 - 新竹
8564,新光-台南
8580,聯邦商銀
8581,聯邦-高雄
8582,聯邦-嘉義
8583,聯邦-仁愛
8584,聯邦-雙和
8585,聯邦-三重
8660,萬通
8661,萬通-內湖
8700,花旗
8710,陽信
8711,陽信-石牌
8712,陽信-景美
8770,大鼎
8800,鼎富
8804,鼎富-西門
8840,玉山
8841,玉山-雙和
8842,玉山-新莊
8843,玉山-高雄
8844,玉山-松江
8845,玉山-仁愛
8846,玉山-土城
8847,玉山-台南
8848,玉山-嘉義
8849,玉山-台大
884A,玉山-士林
884B,玉山-台中
884C,玉山-南京東路
884D,玉山-左營
884E,玉山-城中
884F,玉山-桃園
884G,玉山-金華
884H,玉山-新竹
884I,玉山-內湖
884J,玉山-大里
884K,玉山-板橋
8850,鑫豐
8880,國泰
8881,國泰-高雄
8882,國泰-台中
8883,國泰-松江
8884,國泰-台南
8885,國泰-桃園
8886,國泰-新莊
8887,國泰-忠孝
888A,國泰-館前
888K,國泰-板橋
8890,大和國泰
8900,法銀巴黎
8910,台灣巴克萊
8960,香港上海匯豐
9100,群益金鼎
9101,群益金鼎-敦南
9103,群益金鼎-松山
9105,群益金鼎-高盛
9108,群益金鼎-海山
910D,群益金鼎-大興
9131,群益金鼎-民權
9132,群益金鼎-成功
9133,群益金鼎-新興
9134,群益金鼎-開元
9135,群益金鼎-經國
9136,群益金鼎-西松
9137,群益金鼎-士林
9138,群益金鼎-中港
9139,群益金鼎-和平
913A,群益金鼎-上新莊
913B,群益金鼎-新壢
913C,群益金鼎-信義
913D,群益金鼎-潭子
913E,群益金鼎-基隆
913e,群益金鼎-城中
913F,群益金鼎-文化
913g,群益金鼎-南三重
913G,群益金鼎-苓雅
913H,群益金鼎-屏東
913I,群益金鼎-萬華
913J,群益金鼎-五甲
913j,群益金鼎-復興
913K,群益金鼎-員林
913M,群益金鼎-府城
913N,群益金鼎-土城
913R,群益金鼎-五福
913U,群益金鼎-崇德
913W,群益金鼎-遠東
913Y,群益金鼎-館前
9182,群益-總公司
9183,群益金鼎-高雄
9184,群益金鼎-台中
9185,群益金鼎-台南
9186,群益金鼎-新竹
9187,群益金鼎-彰化
9188,群益金鼎-三民
9189,群益金鼎-桃園
918A,群益金鼎-中壢
918B,群益金鼎-板橋
918c,群益金鼎-鳳山
918C,群益金鼎-古亭
