id,name
733328 ,邦特富邦75購01
734968 ,宜特國泰7B購01
734918 ,凱美永豐78購01
6419 ,京晨科
734917 ,立敦永豐78購01
731454 ,碩禾中信74購01
732481 ,胡連元大74購01
734686 ,大江群益77購01
734632 ,新普富邦77購01
734805 ,立敦統一7A購01
733994 ,網家永豐76購01
733963 ,榮剛元大76購01
734009 ,碩禾兆豐77購01
735485 ,碩禾群益79購01
732951 ,中美晶群益75購05
731788 ,譜瑞凱基76購01
733070 ,精材凱基75購03
735473 ,健亞永豐79購01
70746P ,聯亞群益78售05
732717 ,加百裕元富74購01
732798 ,金山電元大74購01
734068 ,宇峻永豐77購01
732961 ,大江凱基75購01
735881 ,群聯永豐7A購01
731546 ,康普國泰74購01
732428 ,穩懋國泰74購01
732678 ,萬潤兆豐74購01
735656 ,茂達日盛79購01
3624 ,光頡
00723B ,群益15年IG科技債
732827 ,僑威元大74購01
735564 ,大江中信79購01
733401 ,由田元大75購02
733993 ,原相永豐76購03
70829P ,信驊康和7A售02
732215 ,勝麗群益75購01
733844 ,東洋元大76購01
734522 ,胡連元大77購01
735432 ,聯亞元富79購01
70585P ,頎邦康和76售01
731950 ,凡甲元富74購01
3687 ,歐買尬
732766 ,群聯凱基74購01
733038 ,頎邦兆豐76購01
733066 ,譜瑞國票75購01
734196 ,美琪瑪台新78購01
733027 ,欣銓凱基75購01
734033 ,帛漢元大77購01
734297 ,富宇永豐77購01
733477 ,東洋兆豐76購01
735268 ,台半富邦7B購01
733203 ,晶焱日盛75購01
732400 ,昇達科群益75購01
5364 ,力麗店
735784 ,牧德元富79購01
70453P ,新漢康和74售02
8027 ,鈦昇
736051 ,中美晶統一7B購03
3226 ,至寶電
732737 ,群聯兆豐74購02
734420 ,三貝德日盛77購01
734284 ,迅得元大7A購01
70421P ,網家群益74售02
733091 ,金可元大75購02
735191 ,美琪瑪永豐78購02
8924 ,大田
70434P ,中美晶國泰74售03
733908 ,穩懋元大76購11
733321 ,神盾統一75購02
733702 ,英濟永豐76購01
732679 ,環球晶兆豐75購01
732601 ,譜瑞元大74購01
733166 ,同亨富邦75購01
734001 ,茂達凱基76購01
733609 ,宇峻群益77購01
732999 ,精測元大76購01
735960 ,金山電元大7A購01
733595 ,晶焱永豐76購01
70768P ,元太元大79售03
733105 ,精材台新77購01
3362 ,先進光
735669 ,東洋中信79購01
734592 ,牧德凱基77購02
730816 ,宜特元大74購01
733650 ,鈊象台新78購01
735727 ,中美晶元大79購06
731903 ,富喬元大76購01
733396 ,頎邦國票75購01
736023 ,東洋凱基7A購02
734329 ,智擎康和77購02
734557 ,良維凱基77購01
70816P ,網家元大79售04
734057 ,碩禾國泰7B購01
735737 ,宜鼎群益79購02
732536 ,中美晶凱基75購02
731478 ,金居國泰74購01
733341 ,恒耀永豐75購01
734285 ,帛漢元大77購02
734264 ,精材群益77購04
732555 ,精測元大74購03
732370 ,台半元大74購01
733131 ,先進光元大75購02
734932 ,凡甲凱基78購01
733103 ,環球晶永豐75購01
734858 ,凱美麥證78購01
732035 ,環球晶中信74購01
70800P ,雙鴻元大7A售01
70568P ,光燿科元大75售01
733061 ,聯合元大75購01
733444 ,頎邦永豐75購02
734501 ,環球晶凱基77購02
730675 ,來思達元大74購01
733772 ,精材統一77購01
70785P ,大江元大79售02
733442 ,環宇永豐75購02
70564P ,環球晶群益75售06
734762 ,富喬國泰78購01
4402 ,福大
732831 ,世界統一74購01
3623 ,富晶通
732442 ,環球晶統一74購05
735142 ,群聯永豐78購02
734975 ,僑威群益79購01
731589 ,康普元大75購01
733130 ,先進光元大75購01
735246 ,中美晶兆豐7A購02
731369 ,雙鴻國泰74購01
8354 ,冠好
732443 ,元太國票74購01
735883 ,環宇永豐7A購01
732929 ,原相元大78購01
735745 ,富宇永豐79購01
70640P ,群聯台新78售02
731638 ,精材元大74購01
2726 ,雅茗-KY
70432P ,精測元大75售01
70676P ,勝麗群益77售01
735445 ,信昌電國票79購01
731989 ,同致中信77購01
734153 ,大地永豐77購01
733118 ,良維國泰77購02
734294 ,牧德永豐77購03
733343 ,網家日盛76購01
733051 ,頎邦日盛75購01
735651 ,台星科康和79購02
732803 ,群聯日盛74購01
733136 ,雙鴻元大78購01
734732 ,昂寶群益77購04
732955 ,朋程元大75購01
70637P ,頎邦富邦76售02
735208 ,直得凱基78購01
70385P ,元太富邦74售01
732003 ,環球晶統一74購02
731739 ,精材中信75購01
732492 ,穩懋群益74購06
732883 ,聯亞永豐75購01
733915 ,碩禾永豐76購01
733380 ,昂寶元大76購02
70482P ,穩懋兆豐75售01
736079 ,凱美永豐7A購01
733642 ,環球晶國泰76購01
733404 ,昂寶元大75購02
70661P ,合晶永豐77售01
70459P ,威剛元大75售02
732791 ,大中永豐74購02
734565 ,環球晶元大77購05
735310 ,雙鴻元富79購01
70541P ,神盾凱基75售05
2061 ,風青
735955 ,晶焱群益7B購01
732845 ,茂達日盛77購01
733938 ,中美晶元富76購01
733967 ,美琪瑪統一76購01
732826 ,台半元大75購01
735505 ,新普永豐79購01
733425 ,江興鍛元富75購01
733569 ,凱美永豐76購01
733897 ,金可凱基76購02
732433 ,環球晶富邦74購01
5438 ,東友
733114 ,岳豐國泰76購02
734325 ,博智國泰77購01
734094 ,環球晶兆豐79購01
733904 ,精華元富76購01
70547P ,穩懋統一75售02
736035 ,世界群益7A購01
735148 ,勝麗富邦78購02
731984 ,環宇群益74購03
735810 ,恒耀元大79購02
70498P ,穩懋凱基75售02
734408 ,元太群益77購02
5314 ,世紀
732541 ,僑威日盛74購01
732623 ,聯亞群益74購01
732567 ,精華永豐74購01
733593 ,牧德永豐76購01
732846 ,閎康日盛74購01
734586 ,牧德國泰77購01
733354 ,光燿科富邦79購01
732518 ,胡連元大74購02
70808P ,欣銓元大79售01
734977 ,金居元大79購01
70814P ,台半元大79售05
8440 ,綠電
732375 ,穩懋元大74購02
734785 ,宇峻元富78購01
732432 ,統新永豐74購01
734367 ,群聯凱基77購03
732644 ,凡甲永豐74購02
732843 ,宜特元大74購02
733326 ,雙鴻元大78購02
735163 ,應華元大7A購01
735760 ,直得元富79購01
3465 ,祥業
732234 ,穩懋元大75購01
734756 ,昂寶群益77購05
3374 ,精材
732207 ,精材凱基75購02
735828 ,精華群益79購03
733773 ,同致第一79購01
4174 ,浩鼎
70419P ,中美晶群益75售04
732227 ,譜瑞群益75購01
733421 ,頎邦富邦76購01
734141 ,千如群益77購01
733850 ,泰博日盛76購01
733336 ,先進光永豐75購02
732701 ,環宇元大74購01
734833 ,原相凱基78購01
5703 ,亞都
734265 ,環球晶群益77購01
736216 ,晶焱永豐7A購02
733206 ,聯亞兆豐76購01
733889 ,金可永豐76購02
733624 ,合晶永豐76購02
735678 ,中美晶富邦79購03
5403 ,中菲
732875 ,原相元富77購01
733367 ,環球晶凱基75購05
735937 ,廣明永豐7A購01
732570 ,岳豐日盛74購01
734266 ,環球晶群益77購02
8171 ,天宇
3276 ,宇環
70813P ,中美晶永豐79售04
734773 ,博智元大77購03
732687 ,精測永豐74購02
733277 ,神盾元大76購01
734796 ,碩禾凱基78購01
70804P ,環球晶元富79售02
733668 ,先進光國泰76購01
70549P ,環球晶元大75售06
70828P ,聯亞群益7A售05
70530P ,群聯元大75售04
70604P ,先進光康和76售01
729766 ,同致元大75購01
732164 ,精材凱基74購02
70797P ,穩懋元大79售02
8077 ,洛碁
70745P ,碩禾群益7A售01
3211 ,順達
731844 ,光燿科兆豐74購01
70650P ,群聯群益77售02
732788 ,美磊群益74購01
732494 ,鈊象群益75購01
732945 ,翔名國泰75購01
735804 ,恒耀永豐79購01
735909 ,均豪元富84購01
01103S ,991中租賃A
734056 ,美琪瑪國泰77購01
70596P ,精華元大76售03
70435P ,中美晶國泰76售03
734242 ,精測永豐77購01
735173 ,群聯統一78購02
735773 ,元太元大79購06
732117 ,網家群益74購01
70454P ,原相凱基74售01
734927 ,江興鍛元富78購01
733822 ,IET元大76購02
732539 ,穩懋凱基74購10
70634P ,精材元大77售02
733418 ,環球晶兆豐75購03
733242 ,神盾元大75購02
735561 ,世界元富79購01
735232 ,東洋麥證7A購01
733489 ,頎邦永豐75購04
735214 ,中光電永豐79購01
736209 ,大中永豐7A購01
732458 ,由田群益74購01
732776 ,中美晶中信74購04
733240 ,大中元大77購01
4183 ,福永生技
731421 ,金居元大75購01
733451 ,穩懋群益75購06
70519P ,穩懋台新75售03
733560 ,金山電凱基76購01
734976 ,久元元大78購02
70410P ,穩懋兆豐74售02
732973 ,聯亞永豐75購02
70712P ,群聯群益79售01
733405 ,昇達科元大75購03
70577P ,凡甲康和76售01
733538 ,金居統一76購01
6530 ,創威
732815 ,宜特國泰75購02
733198 ,昂寶元大75購01
70718P ,環球晶元富77售05
735893 ,中美晶富邦7A購01
70611P ,穩懋元大76售05
733304 ,精華凱基75購03
70806P ,台半康和79售01
734504 ,環球晶凱基77購05
733737 ,穩懋康和76購01
732133 ,精測群益74購01
732171 ,凡甲元大74購02
70488P ,頎邦凱基75售02
734737 ,應華永豐77購02
734955 ,環球晶統一7A購01
735037 ,網家群益79購03
733974 ,美琪瑪凱基77購02
733551 ,岳豐日盛76購01
735944 ,金居元富7A購01
733881 ,凱美第一79購01
733806 ,宜特國泰7A購01
735736 ,先進光群益7A購01
733847 ,群聯元大76購03
734467 ,久元元大77購01
733069 ,東洋凱基75購01
2924 ,東凌-KY
733431 ,宇峻元大75購01
70466P ,中美晶統一75售01
732908 ,勝麗元大75購02
732851 ,昇達科國泰75購01
4413 ,飛寶企業
733332 ,群聯群益76購01
733879 ,威剛群益77購01
735796 ,立敦永豐79購01
734071 ,中美晶台新78購01
734884 ,迅得元富7B購01
736127 ,信昌電國泰7C購01
70834P ,精測元大7A售02
5516 ,雙喜
735997 ,泰博元大7A購01
70424P ,碩禾群益75售01
734769 ,宇峻元大78購01
734074 ,大中群益78購01
733610 ,威剛永豐76購02
735877 ,岳豐永豐7A購01
70811P ,穩懋群益79售06
735023 ,牧德凱基78購01
733577 ,恒耀元大76購01
734881 ,台燿凱基78購01
733614 ,聯亞元大78購01
734207 ,欣銓富邦79購01
734307 ,牧德凱基77購01
734003 ,環球晶富邦77購01
735157 ,力旺凱基78購01
5481 ,華韡
731048 ,同致國泰74購01
734309 ,威剛兆豐78購01
70633P ,台燿元富76售01
733740 ,岳豐凱基76購02
733029 ,精華凱基75購01
735861 ,大田元大79購03
70002X ,世界元大63展02
732533 ,鼎翰群益74購01
8279 ,生展
4160 ,創源
70395P ,穩懋群益74售03
733046 ,弘塑群益75購01
733423 ,精材凱基75購07
733718 ,穩懋台新78購01
734202 ,原相元富77購02
730905 ,鈊象元大74購02
734319 ,直得統一77購01
736068 ,桓達元大7A購01
735355 ,精材日盛79購01
733530 ,精材凱基76購01
3537 ,堡達
9962 ,有益
731940 ,光燿科群益74購01
734198 ,凡甲元富77購01
733756 ,亞泰永豐76購01
732943 ,網家凱基75購02
70820P ,穩懋兆豐79售04
733771 ,精測日盛76購01
733461 ,頎邦永豐75購03
735183 ,金居兆豐7A購01
735534 ,勝麗中信79購01
70729P ,穩懋富邦77售03
734606 ,群聯元大78購01
734998 ,宇峻永豐78購02
70699P ,聯亞群益78售03
70480P ,中美晶日盛75售01
70758P ,鈊象康和78售01
733139 ,直得第一75購01
735362 ,萬潤凱基79購01
733276 ,泰博元大75購01
732528 ,中美晶群益74購05
731354 ,廣明凱基75購02
1787 ,福盈科
6123 ,上奇
732680 ,中美晶永豐74購05
735326 ,網家凱基79購01
5016 ,松和
734262 ,原相群益77購01
734662 ,新普凱基77購01
735869 ,中天群益7A購01
5490 ,同亨
734817 ,原相永豐78購01
734064 ,聚和凱基77購01
732452 ,環球晶凱基74購02
735992 ,中天元大7A購01
733351 ,東洋元大75購01
734991 ,智擎麥證79購01
732662 ,元太兆豐75購02
735586 ,大田康和79購01
70457P ,穩懋元大74售09
735385 ,聖暉國票79購01
735587 ,同致永豐79購01
732985 ,新普元富75購01
732829 ,聯亞元大74購01
735540 ,昂寶凱基79購01
733445 ,碩禾國泰77購02
734292 ,雙鴻元大79購01
5299 ,杰力
70250P ,雙鴻群益74售01
732407 ,元太元大74購04
733193 ,鈊象國票75購01
733121 ,原相日盛75購01
736115 ,朋億群益7B購01
732673 ,中美晶富邦74購02
734722 ,環球晶兆豐78購01
735826 ,光頡群益79購01
735674 ,碩禾凱基7A購01
735050 ,朋程麥證78購01
732221 ,東隆興元大77購01
732992 ,環球晶群益75購03
734485 ,精測群益77購01
733552 ,同致統一78購01
3162 ,精確
733400 ,精材凱基75購06
1799 ,易威
733101 ,新漢永豐75購01
732462 ,譜瑞群益75購03
735801 ,勝麗永豐79購01
734131 ,信昌電第一77購01
734517 ,力旺元大77購02
70842P ,台燿元大7A售01
70159P ,同致元大74售02
735318 ,台半凱基79購01
4711 ,永純
733669 ,威剛國泰79購01
733529 ,昂寶凱基76購01
733020 ,協益永豐75購01
734429 ,穩懋台新77購01
734310 ,原相永豐77購02
733937 ,應華國泰78購01
733943 ,富喬永豐76購02
732391 ,元太國泰74購01
4974 ,亞泰
732778 ,台半國泰75購01
736031 ,群聯富邦7B購01
732659 ,精材元大75購04
734655 ,元太元大77購01
3306 ,鼎天
735396 ,合晶群益7A購01
732930 ,閎康元大75購01
734736 ,威剛永豐77購02
732502 ,中美晶永豐74購03
735860 ,精測永豐79購03
3541 ,西柏
734031 ,中美晶宏遠77購01
8042 ,金山電
733861 ,信昌電元富77購01
733808 ,同致富邦7B購01
5344 ,立衛
733100 ,柏文永豐75購01
70845P ,碩禾元大7A售02
735185 ,群聯兆豐79購01
730648 ,宏觀國泰74購01
4127 ,天良
735434 ,頎邦元富79購03
734678 ,環球晶元大77購09
734984 ,東洋麥證79購01
70527P ,元太凱基75售02
735743 ,美琪瑪永豐79購01
734656 ,環球晶元大77購08
732406 ,元太元大74購03
735345 ,網家群益79購04
734734 ,IET永豐77購01
3310 ,佳穎
732228 ,同致國泰78購01
732254 ,伍豐元富75購01
733653 ,VHQ凱基76購01
734079 ,新普群益77購01
735935 ,金可永豐7A購01
734684 ,精測台新79購02
733462 ,合晶元富75購02
5426 ,振發
734628 ,久元統一77購02
3265 ,台星科
736157 ,朋億群益7B購02
736175 ,恒耀永豐7A購01
733085 ,聖暉永豐75購01
734610 ,牧德永豐77購06
733627 ,穩懋群益76購03
733457 ,牧德永豐75購02
735420 ,IET元大79購01
733699 ,茂達國票76購01
736053 ,世界統一7C購01
733853 ,群聯統一77購01
8040 ,九暘
735657 ,中美晶台新79購01
734154 ,禾瑞亞永豐77購01
734970 ,牧德永豐78購02
8941 ,關中
3293 ,鈊象
4543 ,萬在
70643P ,精華凱基76售01
735496 ,穩懋富邦7A購02
4432 ,銘旺實
733306 ,聯亞凱基75購01
734382 ,三貝德國泰79購01
70642P ,元太富邦77售01
732683 ,威剛永豐74購02
735274 ,岳豐永豐79購01
734416 ,原相中信79購01
734312 ,千附群益77購01
70824P ,合晶日盛79售03
733715 ,原相富邦77購01
733048 ,網家群益76購02
735956 ,譜瑞群益7A購02
733134 ,網家元大76購02
730581 ,雙鴻國泰77購01
734839 ,元太統一78購02
8109 ,博大
734878 ,環宇永豐78購01
6560 ,欣普羅
70851P ,精測群益7B售02
733713 ,群聯日盛76購01
70561P ,原相元大76售02
733714 ,威剛富邦78購01
3202 ,樺晟
735673 ,同致凱基79購01
732734 ,邦特日盛74購01
732677 ,譜瑞日盛74購01
734790 ,信昌電元大78購02
732686 ,順達永豐74購02
5304 ,鼎創達
734636 ,環球晶群益77購06
735800 ,桓達永豐79購01
734530 ,原相國泰77購02
735746 ,應華永豐79購01
8291 ,尚茂
735270 ,譜瑞富邦79購01
70392P ,環球晶凱基74售05
5340 ,建榮
734403 ,鼎翰元大77購01
733241 ,宜鼎元大75購02
70754P ,穩懋兆豐78售02
732543 ,精測日盛75購01
732671 ,勝麗中信74購01
734560 ,中美晶群益78購02
733016 ,聯亞群益75購01
70736P ,新普群益78售01
733322 ,網家兆豐76購01
733914 ,富喬永豐76購01
732993 ,大江元大75購03
733169 ,群聯元富77購01
6486 ,互動
735038 ,譜瑞群益78購01
733331 ,神盾中信75購01
731088 ,岳豐凱基74購03
732480 ,欣銓元大74購01
735033 ,神盾永豐78購01
735905 ,網家中信7A購01
733965 ,美琪瑪日盛76購01
731949 ,原相統一74購02
735562 ,神盾元富7A購01
