代號,名稱,前資餘額(張),資買,資賣,現償,資餘額,資屬證金,資使用率(%),資限額,前券餘額(張),券賣,券買,券償,券餘額,券屬證金,券使用率(%),券限額,資券相抵(張),備註
"6438","迅得","4,416","40","9","1","4,446","95","30.76","14,450","34","10","1","0","43","0","0.29","14,450","0",""
"6462","神盾","9,164","449","455","20","9,138","275","51.49","17,745","453","85","27","0","511","4","2.87","17,745","5",""
"6465","威潤","98","0","0","0","98","1","1.3","7,518","0","0","0","0","0","0","0.0","7,518","0","11C"
"6469","大樹","493","7","0","0","500","0","6.55","7,625","0","0","0","0","0","0","0.0","7,625","0",""
"6470","宇智","1,226","0","22","0","1,204","33","14.73","8,173","0","0","0","0","0","0","0.0","8,173","0",""
"6485","點序","5,547","79","52","0","5,574","427","65.15","8,555","74","3","10","1","66","0","0.77","8,555","0",""
"6486","互動","3,634","14","21","0","3,627","340","31.41","11,545","1","0","1","0","0","0","0.0","11,545","0",""
"6488","環球晶","5,299","115","240","0","5,174","174","4.73","109,312","391","69","20","0","440","11","0.4","109,312","2",""
"6496","科懋","1,557","15","17","0","1,555","38","13.32","11,666","7","0","0","0","7","0","0.06","11,666","0",""
"6506","雙邦","741","0","0","0","741","41","3.78","19,598","0","0","0","0","0","0","0.0","19,598","0","11C"
"6508","惠光","200","0","0","0","200","41","0.96","20,811","0","0","0","0","0","0","0.0","20,811","0",""
"6509","聚和","11,158","90","59","0","11,189","316","25.41","44,033","0","0","0","0","0","0","0.0","44,033","0",""
"6510","精測","1,120","22","15","0","1,127","41","13.74","8,197","36","2","0","0","38","1","0.46","8,197","1",""
"6523","達爾膚","957","92","47","0","1,002","666","8.74","11,453","29","4","6","0","27","1","0.23","11,453","5","11A"
"6532","瑞耘","3,564","42","20","0","3,586","592","45.35","7,906","0","1","0","0","1","0","0.01","7,906","0",""
"6538","倉和","157","1","0","0","158","0","2.08","7,575","0","0","0","0","0","0","0.0","7,575","0","11C"
"6542","隆中","412","0","1","0","411","90","5.21","7,875","0","0","0","0","0","0","0.0","7,875","0","11B"
"6548","長華科","1,041","1","3","0","1,039","100","11.46","9,066","0","0","0","0","0","0","0.0","9,066","0",""
"6554","中美冠科-KY","504","0","2","0","502","0","1.38","36,328","0","0","0","0","0","0","0.0","36,328","0",""
"6577","勁豐","1,181","16","5","5","1,187","74","12.41","9,563","0","0","0","0","0","0","0.0","9,563","0",""
"6603","富強鑫","11,233","113","201","0","11,145","264","31.32","35,580","753","0","0","0","753","1","2.11","35,580","0",""
"6609","瀧澤科","3,238","172","55","30","3,325","148","18.72","17,758","3","4","0","0","7","0","0.03","17,758","2",""
"6803","崑鼎","87","0","1","0","86","0","0.51","16,733","0","0","0","0","0","0","0.0","16,733","0",""
"8024","佑華","2,108","74","276","0","1,906","94","16.56","11,503","0","0","0","0","0","0","0.0","11,503","0",""
"8027","鈦昇","11,211","55","61","21","11,184","562","56.92","19,646","107","31","8","0","130","0","0.66","19,646","0",""
"8032","光菱","132","5","4","0","133","13","1.02","12,952","0","0","0","0","0","0","0.0","12,952","0",""
"8034","榮群","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"8040","九暘","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"8042","金山電","9,576","106","16","0","9,666","180","33.83","28,568","93","6","0","0","99","1","0.34","28,568","0",""
"8043","蜜望實","1,678","49","75","5","1,647","42","8.24","19,976","291","2","27","0","266","5","1.33","19,976","3",""
"8044","網家","1,482","2","25","2","1,457","26","4.97","29,289","494","5","4","0","495","14","1.69","29,289","1",""
"8047","星雲","633","0","2","0","631","56","6.05","10,416","0","0","0","0","0","0","0.0","10,416","0",""
"8048","德勝","1,724","4","6","0","1,722","18","12.93","13,316","0","0","0","0","0","0","0.0","13,316","0",""
"8049","晶采","4,927","83","92","0","4,918","67","16.63","29,569","0","0","0","0","0","0","0.0","29,569","0",""
"8050","廣積","1,737","9","18","4","1,724","74","5.58","30,871","0","2","0","0","2","0","0.0","30,871","0",""
"8054","安國","6,272","11","14","0","6,269","414","33.99","18,443","0","0","0","0","0","0","0.0","18,443","0",""
"8059","凱碩","3,302","0","0","0","3,302","88","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"8064","東捷","9,053","21","45","20","9,009","131","21.86","41,204","9","11","0","0","20","0","0.04","41,204","0",""
"8066","來思達","3,466","4","16","0","3,454","3","46.05","7,499","9","0","0","0","9","0","0.12","7,499","0",""
"8068","全達","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
