"股票代號","股票名稱","資買進","資賣出","資現償","資前餘額","資今餘","資限額","券買進","券賣出","券現償","券前餘","券今餘","券限額","資券互抵","註記",
="00677U","富邦VIX","4,639","3,244","2","25,003","26,396","87,927","660","474","0","16,456","16,270","87,927","224","",
="00678","群益NBI生技","9","0","0","86","95","9,737","0","0","0","0","0","9,737","0","",
="00680L","元大美債20正2","0","0","0","1","1","1,394","0","0","0","0","0","1,394","0","",
="00681R","元大美債20反1","0","11","0","37","26","1,773","0","0","0","0","0","1,773","0","",
="00682U","元大美元指數","0","0","0","35","35","2,161","0","0","0","0","0","2,161","0","",
="00683L","元大美元指數正2","15","208","0","6,552","6,359","14,983","0","0","0","29","29","14,983","0","",
="00684R","元大美元指數反1","0","0","0","2","2","797","0","0","0","0","0","797","0","",
="00685L","群益臺灣加權正2","0","12","0","18","6","2,159","0","0","0","0","0","2,159","0","",
="00686R","群益臺灣加權反1","570","62","0","5,582","6,090","7,944","0","0","0","14","14","7,944","0","",
="00688L","國泰20年美債正2","0","0","0","65","65","1,403","0","0","0","0","0","1,403","0","",
="00689R","國泰20年美債反1","0","10","0","16","6","1,347","0","0","0","0","0","1,347","0","",
="00690","兆豐藍籌30","0","7","0","71","64","4,582","0","0","0","0","0","4,582","0","",
="00691R","兆豐藍籌30反1","0","0","0","4","4","1,776","0","0","0","0","0","1,776","0","",
="00692","富邦公司治理","0","0","0","40","40","29,945","0","0","0","0","0","29,945","0","",
="00693U","華頓S&P黃豆","23","125","0","2,666","2,564","4,541","0","1","0","1","2","4,541","0","",
="00698L","元大美債7-10正2","0","0","0","0","0","1,412","0","0","0","0","0","1,412","0","X",
="00699R","元大美債7-10反1","0","0","0","0","0","1,428","0","0","0","0","0","1,428","0","X",
="00700","富邦�琤肭磪�","0","0","0","63","63","1,995","0","0","0","0","0","1,995","0","",
="00701","國泰臺灣低波動30","0","0","0","5","5","7,597","0","0","0","0","0","7,597","0","",
="00702","國泰標普低波高息","0","0","0","1","1","3,547","0","0","0","0","0","3,547","0","",
="00703","台新MSCI中國","1","0","0","343","344","5,512","0","0","0","0","0","5,512","0","",
="00704L","台新MSCI台灣正2","0","0","0","5","5","719","0","0","0","0","0","719","0","",
="00705R","台新MSCI台灣反1","0","0","0","22","22","1,328","0","0","0","0","0","1,328","0","",
="00706L","元大S&P日圓正2","50","0","0","78","128","1,271","0","0","0","4","4","1,271","0","",
="00707R","元大S&P日圓反1","0","0","0","0","0","1,213","0","0","0","0","0","1,213","0","X",
="00708L","元大S&P黃金正2","37","30","0","3,963","3,970","5,268","0","0","0","95","95","5,268","0","",
="00709","富邦歐洲","0","0","0","0","0","1,615","0","0","0","0","0","1,615","0","X",
="00710B","FH彭博高收益債","0","0","0","0","0","143,940","0","0","0","0","0","143,940","0","X",
="00711B","FH彭博新興債","0","0","0","0","0","8,565","0","0","0","0","0","8,565","0","X",
="00712","FH富時不動產","0","2","0","5","3","116,627","0","0","0","0","0","116,627","0","",
="00713","元大台灣高息低波","0","1","0","2","1","24,503","0","0","0","0","0","24,503","0","",
="00714","群益道瓊美國地產","0","0","0","47","47","1,391","0","0","0","0","0","1,391","0","",
="00715L","華頓S&P布蘭特正2","0","0","0","38","38","1,596","0","0","0","0","0","1,596","0","",
="00716R","華頓S&P布蘭特反1","0","0","0","40","40","1,289","0","0","0","0","0","1,289","0","",
="00717","富邦美國特別股","0","0","0","115","115","52,401","0","0","0","0","0","52,401","0","",
="00730","富邦臺灣優質高息","0","0","0","1","1","33,136","0","0","0","0","0","33,136","0","",
="008201","BP上證50","0","0","0","78","78","6,872","0","0","0","0","0","6,872","0","",
"1101","台泥","17","99","0","5,269","5,187","1,061,627","2","2","0","198","198","1,061,627","0","",
"1102","亞泥","455","856","0","3,867","3,466","840,361","0","17","0","2","19","840,361","4","",
"1103","嘉泥","169","126","0","4,918","4,961","193,695","0","0","0","2","2","193,695","2","",
"1104","環泥","22","27","0","1,832","1,827","163,402","0","0","0","0","0","163,402","0","X",
"1108","幸福","44","22","0","1,943","1,965","101,184","0","0","0","0","0","101,184","0","X",
"1109","信大","3","0","0","1,036","1,039","89,988","0","0","0","0","0","89,988","2","",
"1110","東泥","1","0","0","1,154","1,155","143,000","0","0","0","0","0","143,000","0","",
"1201","味全","0","0","0","736","736","0","0","0","0","0","0","0","0","OX",
"1203","味王","0","3","0","546","543","60,000","0","0","0","0","0","60,000","0","",
"1210","大成","47","25","0","4,711","4,733","184,098","77","0","0","77","0","184,098","0","X",
"1213","大飲","4","24","0","176","156","14,155","0","0","0","0","0","14,155","2","",
"1215","卜蜂","38","50","0","3,214","3,202","66,997","0","0","5","5","0","66,997","0","X",
"1216","統一","80","395","0","1,369","1,054","1,420,503","6","14","0","177","185","1,420,503","1","",
"1217","愛之味","100","75","1","8,101","8,125","123,628","0","0","1","2","1","123,628","0","",
"1218","泰山","51","283","0","8,561","8,329","124,999","0","0","0","121","121","124,999","2","",
"1219","福壽","16","0","0","8,107","8,123","80,503","0","0","0","0","0","80,503","0","",
"1220","台榮","3","35","0","1,049","1,017","44,269","0","0","0","2","2","44,269","0","",
"1225","福懋油","47","18","0","8,397","8,426","54,675","0","0","0","4","4","54,675","0","",
"1227","佳格","18","4","0","919","933","228,772","7","0","0","7","0","228,772","0","X",
"1229","聯華","150","29","0","2,012","2,133","239,121","4","3","0","65","64","239,121","2","",
"1231","聯華食","0","2","1","351","348","39,971","0","0","0","0","0","39,971","0","",
"1232","大統益","5","1","0","44","48","39,993","0","0","0","0","0","39,993","0","X",
"1233","天仁","0","0","0","195","195","22,647","0","0","0","0","0","22,647","0","X",
"1234","黑松","3","0","0","89","92","100,467","0","0","0","0","0","100,467","0","",
"1235","興泰","0","10","0","10,748","10,738","15,165","0","0","0","13","13","15,165","0","",
"1236","宏亞","2","0","0","92","94","27,085","0","0","0","0","0","27,085","0","",
"1256","鮮活果汁-KY","44","22","0","1,137","1,159","7,691","0","0","0","0","0","7,691","0","",
"1262","綠悅-KY","332","279","0","7,807","7,860","40,837","0","0","0","0","0","40,837","0","X",
"1301","台塑","67","101","0","1,460","1,426","1,591,435","0","0","1","76","75","1,591,435","0","",
"1303","南亞","89","129","0","2,020","1,980","1,982,705","2","2","0","28","28","1,982,705","4","",
"1304","台聚","63","81","0","6,003","5,985","291,363","265","20","0","267","22","291,363","0","",
"1305","華夏","1,983","434","0","11,330","12,879","122,999","16","21","0","246","251","122,999","2","",
"1307","三芳","5","0","0","490","495","99,454","0","0","0","0","0","99,454","0","X",
"1308","亞聚","1","15","0","3,360","3,346","129,528","53","11","0","53","11","129,528","0","",
"1309","台達化","812","468","32","15,911","16,223","81,912","20","4","19","54","19","81,912","0","",
"1310","台苯","324","279","20","15,480","15,505","131,967","85","2","0","215","132","131,967","0","",
"1312","國喬","388","1,656","11","12,240","10,961","226,655","442","0","11","464","11","226,655","0","X",
"1313","聯成","1,778","302","0","15,123","16,599","299,889","0","10","0","0","10","299,889","0","",
"1314","中石化","1,351","1,701","14","133,388","133,024","674,964","57","3","0","994","940","674,964","0","",
"1315","達新","0","0","0","255","255","49,500","0","0","0","0","0","49,500","0","",
"1316","上曜","596","877","8","9,642","9,353","20,122","3","1","0","74","72","20,122","13","",
"1319","東陽","142","177","4","12,480","12,441","147,869","0","1","0","78","79","147,869","2","",
"1321","大洋","6","5","0","3,231","3,232","56,807","3","0","0","22","19","56,807","0","",
"1323","永裕","40","34","0","4,347","4,353","22,818","9","0","0","9","0","22,818","0","",
"1324","地球","29","6","0","2,885","2,908","18,780","0","0","0","0","0","18,780","0","",
"1325","恆大","31","0","0","4,907","4,938","21,320","0","0","0","0","0","21,320","0","",
"1326","台化","166","271","0","1,645","1,540","1,465,296","34","0","0","34","0","1,465,296","0","X",
"1337","再生-KY","307","297","11","12,420","12,419","66,944","0","0","0","0","0","66,944","0","X",
"1338","廣華-KY","28","25","0","5,874","5,877","20,960","0","3","0","3","6","20,960","0","",
"1339","昭輝","1","1","0","1,292","1,292","18,534","0","0","0","0","0","18,534","0","",
"1340","勝悅-KY","72","78","0","7,487","7,481","31,595","0","0","0","0","0","31,595","0","X",
"1402","遠東新","407","175","2","5,754","5,984","1,338,218","0","2","0","25","27","1,338,218","0","",
"1409","新纖","461","237","0","12,163","12,387","404,602","0","0","0","3","3","404,602","1","",
"1410","南染","0","0","0","534","534","18,000","0","0","0","0","0","18,000","0","X",
"1413","宏洲","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1414","東和","542","783","0","3,156","2,915","55,000","0","0","0","0","0","55,000","0","X",
"1416","廣豐","254","149","10","3,129","3,224","46,335","1","0","0","1","0","46,335","7","",
"1417","嘉裕","0","81","0","7,546","7,465","0","0","0","0","1","1","0","0","OX",
"1418","東華","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1419","新紡","0","0","0","225","225","75,010","0","0","0","6","6","75,010","0","",
"1423","利華","1,923","1,569","0","10,057","10,411","43,250","15","30","0","227","242","43,250","25","",
"1432","大魯閣","0","0","0","7,680","7,680","41,984","1","0","0","16","15","41,984","0","",
"1434","福懋","16","16","0","245","245","421,166","0","0","0","0","0","421,166","0","",
"1435","中福","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1436","華友聯","0","59","0","204","145","18,975","0","0","0","0","0","18,975","0","",
"1437","勤益控","0","11","0","1,940","1,929","48,421","0","0","0","0","0","48,421","0","X",
"1438","裕豐","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1439","中和","646","945","0","7,162","6,863","23,000","9","127","0","86","204","23,000","91","",
"1440","南紡","220","81","0","5,606","5,745","414,203","0","0","0","1","1","414,203","0","",
"1441","大東","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1442","名軒","26","13","0","1,172","1,185","75,097","0","0","0","0","0","75,097","0","X",
"1443","立益","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1444","力麗","929","645","0","38,344","38,628","239,325","0","0","6","6","0","239,325","0","X",
"1445","大宇","4","22","200","7,315","7,097","34,666","0","0","0","0","0","34,666","0","",
"1446","宏和","9","0","0","3,294","3,303","34,427","0","3","0","4","7","34,427","0","",
"1447","力鵬","401","278","0","12,898","13,021","228,621","0","0","0","0","0","228,621","0","X",
"1449","佳和","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1451","年興","45","2","0","1,025","1,068","49,500","0","0","0","0","0","49,500","0","X",
"1452","宏益","15","112","0","5,035","4,938","33,160","0","0","0","0","0","33,160","0","X",
"1453","大將","13","8","0","1,577","1,582","22,418","0","0","0","0","0","22,418","0","X",
"1454","台富","8","7","0","3,945","3,946","35,077","0","0","0","0","0","35,077","0","",
"1455","集盛","421","456","10","25,843","25,798","152,940","0","0","0","0","0","152,940","0","X",
"1456","怡華","2","8","0","741","735","23,430","0","0","0","0","0","23,430","0","",
"1457","宜進","3,538","2,125","0","11,496","12,909","75,411","1","599","0","62","660","75,411","137","",
"1459","聯發","566","417","0","5,015","5,164","89,657","0","0","0","1","1","89,657","23","",
"1460","宏遠","75","22","120","5,527","5,460","122,509","0","0","0","0","0","122,509","0","X",
"1463","強盛","121","83","0","4,370","4,408","43,317","10","0","0","17","7","43,317","0","",
"1464","得力","576","177","0","5,193","5,592","83,641","4","0","0","4","0","83,641","0","X",
"1465","偉全","3","0","0","7,657","7,660","25,901","0","0","0","0","0","25,901","0","X",
"1466","聚隆","148","26","0","524","646","27,789","0","0","0","1","1","27,789","7","",
"1467","南緯","801","436","0","7,579","7,944","42,052","3","6","0","14","17","42,052","9","",
"1468","昶和","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1470","大統染","1","0","0","3","4","21,441","0","0","0","0","0","21,441","0","",
"1471","首利","0","0","0","7","7","0","0","0","0","0","0","0","0","OX",
"1472","三洋紡","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1473","台南","4","0","0","397","401","36,788","0","0","0","0","0","36,788","0","",
"1474","弘裕","21","1","0","3,190","3,210","32,474","0","0","0","20","20","32,474","0","",
"1475","本盟","12","16","0","359","355","1,032","2","0","0","19","17","1,032","0","",
"1476","儒鴻","351","339","0","4,069","4,081","68,591","0","0","2","2","0","68,591","0","X",
"1477","聚陽","43","30","0","2,110","2,123","52,346","8","0","0","30","22","52,346","1","",
"1503","士電","17","22","0","389","384","130,243","0","0","0","0","0","130,243","0","X",
"1504","東元","2,042","783","0","8,400","9,659","500,673","23","0","0","23","0","500,673","0","X",
"1506","正道","127","82","0","22,718","22,763","23,063","0","0","0","23","23","23,063","0","@",
"1507","永大","23","76","0","973","920","102,705","0","0","0","0","0","102,705","0","",
"1512","瑞利","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1513","中興電","4,191","1,899","3","9,293","11,582","105,000","14","102","0","93","181","105,000","96","",
"1514","亞力","4,031","3,393","0","12,644","13,282","50,266","479","1,112","0","2,338","2,971","50,266","7","",
"1515","力山","413","379","0","13,990","14,024","45,368","104","142","0","832","870","45,368","17","",
"1516","川飛","48","81","0","5,333","5,300","6,620","0","0","0","0","0","6,620","8","@",
"1517","利奇","295","426","0","3,762","3,631","56,956","0","0","0","0","0","56,956","2","",
"1519","華城","3,361","2,087","0","9,947","11,221","65,264","0","0","0","0","0","65,264","0","X",
"1521","大億","0","0","1","247","246","19,057","0","0","0","0","0","19,057","0","X",
"1522","堤維西","38","35","5","9,767","9,765","78,224","2","0","0","155","153","78,224","0","",
"1524","耿鼎","158","161","0","6,485","6,482","44,921","0","0","0","0","0","44,921","0","X",
"1525","江申","1","11","0","677","667","18,350","7","0","0","7","0","18,350","0","",
"1526","日馳","48","31","0","3,839","3,856","12,500","13","5","0","736","728","12,500","0","",
"1527","鑽全","78","59","0","2,269","2,288","34,490","92","3","0","313","224","34,490","0","",
"1528","恩德","950","605","0","13,799","14,144","45,000","0","20","0","17","37","45,000","0","",
"1529","樂士","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1530","亞崴","4","2","0","985","987","24,148","0","0","0","0","0","24,148","0","X",
"1531","高林股","144","39","0","6,872","6,977","48,287","0","0","0","2","2","48,287","4","",
"1532","勤美","24","188","0","6,546","6,382","96,313","0","0","0","32","32","96,313","0","",
"1533","車王電","8","13","0","1,820","1,815","24,636","0","0","0","0","0","24,636","0","X",
"1535","中宇","14","3","0","333","344","30,935","0","0","0","0","0","30,935","0","",
"1536","和大","616","479","3","7,682","7,816","63,739","0","0","0","0","0","63,739","0","X",
"1537","廣隆","11","8","0","694","697","20,446","0","0","0","0","0","20,446","0","X",
"1538","正峰新","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1539","巨庭","13","8","0","2,747","2,752","16,342","0","2","0","8","10","16,342","0","",
"1540","喬福","74","74","0","1,064","1,064","21,368","0","0","0","11","11","21,368","0","",
"1541","錩泰","1","1","0","1,158","1,158","19,700","0","0","0","1","1","19,700","0","",
"1558","伸興","13","12","0","580","581","15,138","0","0","0","0","0","15,138","0","X",
"1560","中砂","103","65","0","3,165","3,203","35,250","14","0","0","14","0","35,250","0","X",
"1568","倉佑","50","39","0","5,018","5,029","25,771","0","0","0","0","0","25,771","0","X",
"1582","信錦","59","20","0","1,848","1,887","41,241","0","0","0","15","15","41,241","0","",
"1583","程泰","19","8","0","449","460","27,600","0","0","0","0","0","27,600","0","X",
"1589","永冠-KY","1,536","1,241","0","9,272","9,567","27,904","228","168","3","728","665","27,904","51","",
"1590","亞德客-KY","39","169","0","528","398","47,256","0","0","0","0","0","47,256","0","X",
"1592","英瑞-KY","29","5","3","2,842","2,863","25,108","0","0","0","0","0","25,108","0","",
"1598","岱宇","18","20","0","3,237","3,235","23,237","0","0","0","29","29","23,237","0","",
"1603","華電","17","3","0","2,626","2,640","47,922","0","0","0","0","0","47,922","0","",
"1604","聲寶","252","4","0","5,163","5,411","124,750","0","0","0","0","0","124,750","0","X",
"1605","華新","7,275","7,382","0","28,330","28,223","841,500","302","431","0","1,111","1,240","841,500","188","",
"1608","華榮","6,349","2,895","0","10,322","13,776","158,193","0","0","0","0","0","158,193","0","X",
"1609","大亞","10,464","10,322","0","52,092","52,234","143,045","161","4,365","10","1,363","5,557","143,045","564","",
"1611","中電","4,487","2,665","0","9,778","11,600","99,609","96","110","0","402","416","99,609","131","",
"1612","宏泰","2,482","828","4","6,220","7,870","79,020","0","0","0","0","0","79,020","0","X",
"1614","三洋電","0","5","0","397","392","67,278","0","0","0","0","0","67,278","0","X",
"1615","大山","1,092","352","0","2,175","2,915","27,965","0","7","0","0","7","27,965","10","",
"1616","億泰","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1617","榮星","252","84","0","1,228","1,396","36,058","0","0","0","1","1","36,058","14","",
"1618","合機","2,583","764","357","12,217","13,679","60,216","0","87","0","24","111","60,216","56","",
"1626","艾美特-KY","1","4","5","2,056","2,048","30,710","0","0","0","0","0","30,710","0","X",
"1701","中化","336","481","0","4,343","4,198","74,520","0","2","0","0","2","74,520","2","",
"1702","南僑","12","9","0","1,821","1,824","73,533","0","0","0","6","6","73,533","0","",
"1704","榮化","173","444","0","7,465","7,194","213,858","51","0","0","66","15","213,858","0","",
"1707","葡萄王","157","250","0","1,554","1,461","33,828","8","42","0","23","57","33,828","4","",
"1708","東鹼","81","7","0","3,187","3,261","50,361","0","0","0","0","0","50,361","0","",
"1709","和益","56","15","0","4,349","4,390","123,034","0","0","0","0","0","123,034","0","X",
"1710","東聯","262","360","0","12,533","12,435","221,425","3","125","0","34","156","221,425","5","",
"1711","永光","45","33","7","7,121","7,126","136,938","0","0","0","0","0","136,938","0","",
"1712","興農","0","216","0","3,461","3,245","104,122","39","0","0","78","39","104,122","0","",
"1713","國化","21","23","0","5,270","5,268","37,737","0","0","0","0","0","37,737","0","X",
"1714","和桐","182","86","5","16,889","16,980","254,206","0","0","0","1","1","254,206","1","",
"1717","長興","2","83","0","1,006","925","289,784","29","0","0","45","16","289,784","0","",
"1718","中纖","389","315","0","35,063","35,137","357,373","0","0","0","0","0","357,373","0","X",
"1720","生達","174","40","0","2,260","2,394","44,674","0","0","0","0","0","44,674","0","",
"1721","三晃","33","84","0","6,853","6,802","49,949","0","0","0","0","0","49,949","0","X",
"1722","台肥","103","121","4","8,744","8,722","245,000","8","4","0","12","8","245,000","1","",
"1723","中碳","30","49","0","1,786","1,767","59,226","0","0","0","0","0","59,226","0","X",
"1724","台硝","0","0","0","737","737","31,953","0","0","0","0","0","31,953","0","",
"1725","元禎","3","7","0","253","249","45,457","0","0","0","0","0","45,457","0","X",
"1726","永記","8","0","0","471","479","40,500","0","0","0","0","0","40,500","0","",
"1727","中華化","0","0","0","923","923","27,562","0","0","0","0","0","27,562","0","X",
"1730","花仙子","0","0","0","110","110","14,674","0","0","0","0","0","14,674","0","X",
"1731","美吾華","1,080","566","0","3,280","3,794","33,228","0","66","0","0","66","33,228","28","",
"1732","毛寶","0","0","0","383","383","0","0","0","0","0","0","0","0","OX",
"1733","五鼎","236","772","0","2,521","1,985","24,931","1","0","0","34","33","24,931","0","",
"1734","杏輝","539","385","1","2,578","2,731","41,930","8","0","0","16","8","41,930","22","",
"1735","日勝化","65","13","0","583","635","24,847","0","0","0","7","7","24,847","0","",
"1736","喬山","33","3","0","1,469","1,499","76,004","0","0","0","2","2","76,004","0","",
"1737","臺鹽","12","12","0","647","647","50,000","0","0","0","0","0","50,000","0","",
"1762","中化生","203","128","0","1,790","1,865","19,390","0","0","0","0","0","19,390","1","",
"1773","勝一","1","0","0","777","778","37,500","0","1","0","0","1","37,500","0","",
"1776","展宇","1","1","0","107","107","17,390","0","0","0","0","0","17,390","0","",
"1783","和康生","825","585","0","2,376","2,616","17,711","0","70","0","20","90","17,711","0","",
"1786","科妍","2,008","1,807","2","7,130","7,329","13,275","165","224","2","879","936","13,275","111","",
"1789","神隆","249","163","0","7,358","7,444","197,684","2","1","0","24","23","197,684","6","",
"1802","台玻","434","359","0","9,716","9,791","727,015","0","0","0","0","0","727,015","0","X",
"1805","寶徠","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"1806","冠軍","61","38","0","5,958","5,981","109,333","0","0","0","62","62","109,333","5","",
"1808","潤隆","289","229","10","4,562","4,612","61,057","0","0","0","0","0","61,057","0","X",
"1809","中釉","71","89","0","5,082","5,064","41,760","0","0","0","7","7","41,760","2","",
"1810","和成","143","207","0","22,816","22,752","92,463","0","0","0","2","2","92,463","0","",
"1817","凱撒衛","0","0","0","850","850","18,150","0","0","0","0","0","18,150","0","X",
"1902","台紙","63","77","0","9,682","9,668","100,500","0","0","0","0","0","100,500","0","X",
"1903","士紙","11","0","0","2,222","2,233","65,009","0","0","0","0","0","65,009","0","X",
"1904","正隆","86","273","0","18,650","18,463","277,068","0","17","0","3","20","277,068","0","",
"1905","華紙","429","446","1","12,846","12,828","275,708","0","7","1","56","62","275,708","3","",
"1906","寶隆","446","437","0","6,915","6,924","37,750","0","0","0","6","6","37,750","1","",
"1907","永豐餘","118","390","1","24,414","24,141","415,092","21","5","15","98","67","415,092","0","",
"1909","榮成","418","105","0","20,749","21,062","283,421","0","0","0","0","0","283,421","0","X",
"2002","中鋼","245","239","6","8,400","8,400","3,933,715","13","15","0","211","213","3,933,715","2","",
"2006","東和鋼鐵","33","9","0","2,202","2,226","251,015","0","0","0","0","0","251,015","0","X",
"2007","燁興","0","0","0","0","0","0","0","0","0","0","0","0","0","OX",
"2008","高興昌","0","1","0","509","508","50,213","0","0","0","5","5","50,213","0","",
"2009","第一銅","349","157","0","7,782","7,974","89,905","1","1","0","210","210","89,905","3","",
"2010","春源","246","237","0","3,381","3,390","161,913","0","0","0","0","0","161,913","0","X",
"2012","春雨","174","168","0","1,010","1,016","71,943","0","0","0","0","0","71,943","0","X",
