"股票代號","股票名稱","資買進","資賣出","資現償","資前餘額","資今餘","資限額","券買進","券賣出","券現償","券前餘","券今餘","券限額","資券互抵","註記",
="0050","元大台灣50","36","106","0","1,144","1,074","128,625","5","40","0","258","293","128,625","0","",
="0051","元大中型100","0","0","0","0","0","2,375","0","0","0","0","0","2,375","0","X",
="0052","富邦科技","0","0","0","0","0","1,500","0","0","0","0","0","1,500","0","X",
="0053","元大電子","0","0","0","3","3","1,622","0","0","0","0","0","1,622","0","",
="0054","元大台商50","0","0","0","0","0","2,906","0","0","0","0","0","2,906","0","X",
="0055","元大MSCI金融","0","2","0","92","90","8,913","0","1","0","1","2","8,913","0","",
="0056","元大高股息","0","1","0","112","111","92,633","0","0","0","0","0","92,633","0","",
="0057","富邦摩台","0","0","0","0","0","1,256","0","0","0","0","0","1,256","0","X",
="0058","富邦發達","0","0","0","0","0","1,049","0","0","0","0","0","1,049","0","X",
="0059","富邦金融","0","0","0","0","0","1,243","0","0","0","0","0","1,243","0","X",
="0061","元大寶滬深","6","45","0","2,531","2,492","99,279","20","0","0","184","164","99,279","5","",
="006203","元大MSCI台灣","0","0","0","0","0","1,929","0","0","0","0","0","1,929","0","X",
="006204","永豐臺灣加權","0","0","0","0","0","750","0","0","0","0","0","750","0","X",
="006205","富邦上証","7","11","0","1,247","1,243","117,199","10","0","0","38","28","117,199","0","",
="006206","元大上證50","20","0","0","781","801","46,444","10","0","0","14","4","46,444","0","",
="006207","FH滬深","0","0","0","410","410","34,598","0","1","0","2","3","34,598","0","",
="006208","富邦台50","0","0","0","26","26","5,760","0","0","0","0","0","5,760","0","",
="00631L","元大台灣50正2","84","115","0","5,305","5,274","6,146","23","112","0","2,948","3,037","6,146","21","@",
="00632R","元大台灣50反1","7,177","6,082","62","280,282","281,315","1,367,912","81","427","0","4,730","5,076","1,367,912","159","",
="00633L","富邦上証正2","3,040","2,108","36","118,783","119,679","158,739","34","228","0","9,099","9,293","158,739","1,547","",
="00634R","富邦上証反1","20","27","0","4,150","4,143","16,314","6","0","0","486","480","16,314","0","",
="00635U","元大S&P黃金","6","25","0","629","610","10,003","0","0","0","19","19","10,003","0","",
="00636","國泰中國A50","19","36","0","5,465","5,448","141,756","10","9","9","1,205","1,195","141,756","15","",
="00637L","元大滬深300正2","16,853","12,677","163","418,052","422,065","540,401","344","1,099","0","31,153","31,908","540,401","3,233","@",
="00638R","元大滬深300反1","32","17","0","388","403","2,112","5","7","0","109","111","2,112","0","",
="00639","富邦深100","66","26","0","5,303","5,343","75,225","0","0","0","67","67","75,225","0","",
="00640L","富邦日本正2","38","151","0","2,239","2,126","4,604","1","15","0","225","239","4,604","1","",
="00641R","富邦日本反1","283","30","0","3,834","4,087","8,189","0","1","0","29","30","8,189","0","",
="00642U","元大S&P石油","30","30","2","1,893","1,891","21,705","22","1","0","262","241","21,705","0","",
="00643","群益深証中小","393","45","0","7,905","8,253","69,722","285","36","602","2,476","1,625","69,722","15","",
="00645","富邦日本","0","3","0","3","0","6,624","0","0","0","0","0","6,624","0","X",
="00646","元大S&P500","0","1","0","16","15","66,496","0","0","0","0","0","66,496","0","",
="00647L","元大S&P500正2","0","0","0","984","984","979","0","0","0","7","7","979","0","O",
="00648R","元大S&P500反1","405","16","0","10,629","11,018","35,422","6","0","0","73","67","35,422","0","",
="00649","FH香港","0","1","0","128","127","3,693","0","0","0","0","0","3,693","0","",
="00650L","FH香港正2","1","128","0","823","696","959","0","4","0","77","81","959","0","",
="00651R","FH香港反1","82","45","0","1,849","1,886","5,423","0","0","0","2","2","5,423","0","",
="00652","富邦印度","0","4","0","42","38","3,008","0","0","0","0","0","3,008","0","",
="00653L","富邦印度正2","26","145","0","2,108","1,989","4,350","6","13","0","98","105","4,350","1","",
="00654R","富邦印度反1","21","0","0","510","531","2,116","0","0","0","0","0","2,116","0","",
="00655L","國泰中國A50正2","718","1,360","12","69,104","68,450","91,114","6","188","0","2,987","3,169","91,114","923","",
="00656R","國泰中國A50反1","5","7","0","252","250","2,464","0","0","0","10","10","2,464","0","",
="00657","國泰日經225","0","0","0","0","0","1,841","0","0","0","0","0","1,841","0","X",
="00658L","國泰日本正2","0","37","0","265","228","1,336","0","0","0","8","8","1,336","0","",
="00659R","國泰日本反1","83","861","2","1,835","1,055","3,020","0","0","0","0","0","3,020","0","",
="00660","元大歐洲50","0","0","0","2","2","9,132","0","0","0","0","0","9,132","0","",
="00661","元大日經225","0","0","0","0","0","981","0","0","0","0","0","981","0","X",
="00662","富邦NASDAQ","0","0","0","29","29","2,882","0","0","0","0","0","2,882","0","",
="00663L","國泰臺灣加權正2","390","17","0","584","957","1,077","0","0","0","31","31","1,077","0","@",
="00664R","國泰臺灣加權反1","133","83","0","12,637","12,687","45,768","0","0","0","2","2","45,768","10","",
="00665L","富邦�琤肭磪囓�2","89","67","0","4,901","4,923","6,741","1","0","0","19","18","6,741","4","@",
="00666R","富邦�琤肭磪齯�1","0","27","0","320","293","2,406","0","0","0","0","0","2,406","0","",
="00667","元大韓國","0","0","0","10","10","1,232","0","0","0","0","0","1,232","0","",
="00668","國泰美國道瓊","10","2","0","181","189","19,907","0","0","0","0","0","19,907","0","",
="00669R","國泰美國道瓊反1","497","154","0","9,003","9,346","15,779","4","15","0","21","32","15,779","0","",
="00670L","富邦NASDAQ正2","599","50","0","2,520","3,069","4,036","0","13","0","38","51","4,036","0","",
="00671R","富邦NASDAQ反1","230","107","0","4,420","4,543","5,846","0","0","0","35","35","5,846","0","",
="00672L","元大S&P原油正2","2,099","524","4","12,984","14,555","23,171","233","124","10","4,596","4,477","23,171","12","",
="00673R","元大S&P原油反1","33","1,280","0","12,354","11,107","34,425","0","3","0","1,514","1,517","34,425","0","",
="00674R","元大S&P黃金反1","0","0","0","76","76","1,650","0","0","0","0","0","1,650","0","",
="00675L","富邦臺灣加權正2","138","165","0","1,873","1,846","2,821","0","12","0","236","248","2,821","0","",
="00676R","富邦臺灣加權反1","210","405","0","16,179","15,984","49,252","0","0","0","16","16","49,252","0","",
