"股票代號","股票名稱","資買進","資賣出","資現償","資前餘額","資今餘","資限額","券買進","券賣出","券現償","券前餘","券今餘","券限額","資券互抵","註記",
="0050","元大台灣50","67","146","0","2,760","2,681","145,750","6","4","0","419","417","145,750","4","",
="0051","元大中型100","0","0","0","0","0","2,250","0","0","0","0","0","2,250","0","X",
="0052","富邦科技","0","0","0","0","0","1,500","0","0","0","0","0","1,500","0","X",
="0053","元大電子","0","0","0","3","3","1,622","0","0","0","0","0","1,622","0","",
="0054","元大台商50","0","0","0","2","2","2,906","0","0","0","0","0","2,906","0","",
="0055","元大MSCI金融","0","5","0","34","29","8,788","0","0","0","2","2","8,788","0","",
="0056","元大高股息","6","0","1","153","158","98,633","0","0","0","1","1","98,633","0","",
="0057","富邦摩台","0","0","0","0","0","1,256","0","0","0","0","0","1,256","0","X",
="0058","富邦發達","0","0","0","0","0","1,049","0","0","0","0","0","1,049","0","X",
="0059","富邦金融","0","0","0","0","0","1,243","0","0","0","0","0","1,243","0","X",
="0061","元大寶滬深","5","3","1","2,625","2,626","99,404","20","10","0","191","181","99,404","1","",
="006203","元大MSCI台灣","0","0","0","0","0","1,929","0","0","0","0","0","1,929","0","X",
="006204","永豐臺灣加權","0","0","0","0","0","750","0","0","0","0","0","750","0","X",
="006205","富邦上証","6","37","0","1,838","1,807","124,436","0","0","1","29","28","124,436","0","",
="006206","元大上證50","0","6","0","933","927","53,944","0","0","0","2","2","53,944","0","",
="006207","FH滬深","0","0","0","406","406","53,598","0","0","0","2","2","53,598","0","",
="006208","富邦台50","0","0","0","25","25","5,885","0","0","0","0","0","5,885","0","",
="00631L","元大台灣50正2","468","159","0","6,234","6,543","8,021","180","78","0","2,583","2,481","8,021","14","@",
="00632R","元大台灣50反1","5,033","8,278","178","232,721","229,298","1,098,287","317","6","0","5,204","4,893","1,098,287","3","",
="00633L","富邦上証正2","1,990","4,737","7","143,110","140,356","180,614","202","139","1,167","9,083","7,853","180,614","126","@",
="00634R","富邦上証反1","88","21","0","3,384","3,451","14,564","5","25","0","472","492","14,564","0","",
="00635U","元大S&P黃金","2","1","0","715","716","9,878","0","0","0","14","14","9,878","0","",
="00636","國泰中國A50","197","220","0","5,879","5,856","150,331","0","0","0","327","327","150,331","0","",
="00637L","元大滬深300正2","5,445","12,229","356","499,520","492,380","625,401","226","464","3,936","35,798","32,100","625,401","718","@",
="00638R","元大滬深300反1","30","8","0","184","206","2,112","14","0","0","112","98","2,112","0","",
="00639","富邦深100","12","14","0","5,533","5,531","75,975","0","0","0","88","88","75,975","2","",
="00640L","富邦日本正2","0","3","0","1,687","1,684","4,104","1","0","0","311","310","4,104","0","",
="00641R","富邦日本反1","1","153","5","4,626","4,469","8,064","0","0","0","10","10","8,064","0","",
="00642U","元大S&P石油","10","9","0","1,457","1,458","19,580","10","0","0","342","332","19,580","0","",
="00643","群益深証中小","19","113","0","6,139","6,045","70,222","0","2","0","122","124","70,222","0","",
="00645","富邦日本","0","0","0","0","0","6,374","0","0","0","0","0","6,374","0","X",
="00646","元大S&P500","0","0","0","14","14","67,871","0","0","0","0","0","67,871","0","",
