"股票代號","股票名稱","資買進","資賣出","資現償","資前餘額","資今餘","資限額","券買進","券賣出","券現償","券前餘","券今餘","券限額","資券互抵","註記",
="00672L","元大S&P原油正2","918","351","0","7,935","8,502","19,296","150","10","0","3,709","3,569","19,296","2","",
="00673R","元大S&P原油反1","214","373","0","15,808","15,649","37,925","5","0","0","1,450","1,445","37,925","0","",
="00674R","元大S&P黃金反1","0","2","0","25","23","1,525","0","0","0","0","0","1,525","0","",
="00675L","富邦臺灣加權正2","100","54","0","2,294","2,340","2,946","1","7","0","130","136","2,946","0","",
="00676R","富邦臺灣加權反1","788","25","0","13,708","14,471","44,127","1","0","0","23","22","44,127","10","",
="00677U","富邦VIX","2,117","1,742","80","69,776","70,071","111,677","200","60","30","12,253","12,083","111,677","76","",
="00678","群益NBI生技","0","0","0","83","83","9,737","0","0","0","0","0","9,737","0","",
="00680L","元大美債20正2","0","0","0","1","1","1,394","0","0","0","0","0","1,394","0","",
="00681R","元大美債20反1","0","0","0","11","11","1,773","0","0","0","0","0","1,773","0","",
="00682U","元大美元指數","0","8","0","34","26","2,161","0","0","0","0","0","2,161","0","",
="00683L","元大美元指數正2","109","335","0","3,520","3,294","11,733","10","9","0","26","25","11,733","0","",
="00684R","元大美元指數反1","0","0","0","2","2","797","0","0","0","0","0","797","0","",
="00685L","群益臺灣加權正2","0","0","0","12","12","2,159","0","0","0","0","0","2,159","0","",
="00686R","群益臺灣加權反1","0","0","0","6,079","6,079","6,944","0","0","0","14","14","6,944","0","@",
="00688L","國泰20年美債正2","0","0","0","5","5","1,403","0","0","0","0","0","1,403","0","",
="00689R","國泰20年美債反1","0","0","0","2","2","1,347","0","0","0","0","0","1,347","0","",
="00690","兆豐藍籌30","0","0","0","74","74","4,332","0","0","0","0","0","4,332","0","",
="00691R","兆豐藍籌30反1","0","0","0","24","24","1,651","0","0","0","0","0","1,651","0","",
="00692","富邦公司治理","0","1","0","39","38","31,070","0","0","0","0","0","31,070","0","",
="00693U","華頓S&P黃豆","7","10","0","1,342","1,339","4,416","0","0","0","0","0","4,416","0","",
="00698L","元大美債7-10正2","0","0","0","0","0","1,537","0","0","0","0","0","1,537","0","X",
="00699R","元大美債7-10反1","0","0","0","0","0","1,678","0","0","0","0","0","1,678","0","X",
="00700","富邦�琤肭磪�","0","0","0","68","68","1,995","0","0","0","0","0","1,995","0","",
="00701","國泰臺灣低波動30","0","0","0","5","5","6,347","0","0","0","0","0","6,347","0","",
="00702","國泰標普低波高息","0","0","0","1","1","3,547","0","0","0","0","0","3,547","0","",
="00703","台新MSCI中國","3","2","0","440","441","6,262","0","0","0","0","0","6,262","0","",
="00704L","台新MSCI台灣正2","0","0","0","7","7","719","0","0","0","0","0","719","0","",
="00705R","台新MSCI台灣反1","0","0","0","22","22","1,328","0","0","0","0","0","1,328","0","",
="00706L","元大S&P日圓正2","1","0","0","48","49","1,521","0","0","0","2","2","1,521","0","",
="00707R","元大S&P日圓反1","0","0","0","0","0","1,213","0","0","0","0","0","1,213","0","X",
="00708L","元大S&P黃金正2","495","96","0","2,652","3,051","5,393","1","5","0","30","34","5,393","0","",
="00709","富邦歐洲","0","0","0","0","0","1,615","0","0","0","0","0","1,615","0","X",
="00710B","FH彭博高收益債","0","0","0","0","0","144,690","0","0","0","0","0","144,690","0","X",
="00711B","FH彭博新興債","0","0","0","0","0","12,315","0","0","0","0","0","12,315","0","X",
="00712","FH富時不動產","0","0","0","2","2","116,627","0","0","0","0","0","116,627","0","",
="00713","元大台灣高息低波","0","0","0","1","1","24,503","0","0","0","0","0","24,503","0","",
="00714","群益道瓊美國地產","0","0","0","4","4","1,391","0","0","0","0","0","1,391","0","",
="00715L","華頓S&P布蘭特正2","0","6","0","27","21","1,346","0","0","0","0","0","1,346","0","",
="00716R","華頓S&P布蘭特反1","0","0","0","41","41","1,289","0","0","0","0","0","1,289","0","",
="00717","富邦美國特別股","0","0","0","141","141","53,401","0","0","0","0","0","53,401","0","",
="00728","第一金工業30","11","10","0","23","24","7,230","0","0","0","0","0","7,230","0","",
="00729R","第一金工業30反1","2","0","0","6","8","1,899","0","0","0","0","0","1,899","0","",
="00730","富邦臺灣優質高息","0","0","0","1","1","34,261","0","0","0","0","0","34,261","0","",
="00731","FH富時高息低波","0","0","0","0","0","12,650","0","0","0","0","0","12,650","0","X",
="008201","BP上證50","0","0","0","78","78","6,872","0","0","0","0","0","6,872","0","",
"1101","台泥","569","454","20","9,388","9,483","1,061,627","14","40","0","276","302","1,061,627","4","",
"1102","亞泥","1,095","1,152","3","4,006","3,946","840,361","0","59","12","83","130","840,361","33","",
"1103","嘉泥","148","57","0","4,907","4,998","193,695","0","0","0","0","0","193,695","0","",
"1104","環泥","5","3","0","1,739","1,741","163,402","0","0","0","0","0","163,402","0","",
"1108","幸福","11","22","0","1,968","1,957","101,184","0","0","0","0","0","101,184","0","",
"1109","信大","0","26","0","1,098","1,072","89,988","0","4","0","21","25","89,988","0","",
"1110","東泥","3","0","0","1,238","1,241","143,000","0","0","0","0","0","143,000","0","",
"1201","味全","97","38","2","2,182","2,239","126,515","3","0","0","4","1","126,515","0","",
"1203","味王","0","0","0","559","559","60,000","0","0","0","0","0","60,000","0","",
"1210","大成","254","232","0","5,099","5,121","184,098","18","24","0","116","122","184,098","0","",
"1213","大飲","3","0","0","149","152","14,155","0","0","0","0","0","14,155","0","",
"1215","卜蜂","25","37","0","2,864","2,852","66,997","0","26","0","492","518","66,997","0","",
"1216","統一","144","20","10","1,313","1,427","1,420,503","8","0","0","12","4","1,420,503","1","",
"1217","愛之味","47","35","0","9,031","9,043","123,628","0","1","0","1","2","123,628","0","",
"1218","泰山","32","90","0","7,244","7,186","124,999","0","0","0","10","10","124,999","1","",
"1219","福壽","6","0","0","8,450","8,456","80,503","0","0","0","0","0","80,503","0","",
"1220","台榮","12","0","0","1,487","1,499","44,269","0","0","0","0","0","44,269","0","",
"1225","福懋油","3","0","0","8,785","8,788","54,675","0","0","0","0","0","54,675","0","",
"1227","佳格","9","4","0","1,041","1,046","228,772","0","0","0","4","4","228,772","0","",
"1229","聯華","64","134","3","2,332","2,259","239,121","0","14","0","18","32","239,121","0","",
"1231","聯華食","0","0","0","327","327","39,971","0","0","0","0","0","39,971","0","",
"1232","大統益","1","0","0","44","45","39,993","0","0","0","0","0","39,993","0","",
"1233","天仁","0","0","0","107","107","22,647","0","0","0","0","0","22,647","0","",
"1234","黑松","3","0","0","131","134","100,467","0","0","0","0","0","100,467","0","",
"1235","興泰","0","0","0","10,734","10,734","15,165","0","0","0","0","0","15,165","0","",
"1236","宏亞","0","0","0","100","100","27,085","0","0","0","0","0","27,085","0","",
"1256","鮮活果汁-KY","91","91","0","1,231","1,231","7,691","0","0","0","4","4","7,691","6","",
"1262","綠悅-KY","65","100","0","8,177","8,142","40,837","4","31","0","828","855","40,837","0","",
"1301","台塑","4","53","1","1,106","1,056","1,591,435","0","1","1","5","5","1,591,435","0","",
"1303","南亞","65","122","0","2,447","2,390","1,982,705","0","11","0","2","13","1,982,705","0","",
"1304","台聚","146","27","0","6,682","6,801","291,363","0","0","0","5","5","291,363","0","",
"1305","華夏","251","98","1","10,965","11,117","122,999","0","14","0","529","543","122,999","2","",
"1307","三芳","7","0","1","456","462","99,454","0","0","0","6","6","99,454","0","",
"1308","亞聚","41","69","0","3,775","3,747","129,528","0","0","0","3","3","129,528","0","",
"1309","台達化","271","253","5","17,878","17,891","81,912","0","0","0","7","7","81,912","0","",
"1310","台苯","161","170","0","19,219","19,210","131,967","0","0","0","4","4","131,967","0","",
"1312","國喬","617","516","0","11,939","12,040","226,655","135","37","0","937","839","226,655","8","",
"1313","聯成","66","459","0","15,524","15,131","299,889","0","0","0","38","38","299,889","4","",
"1314","中石化","1,469","985","153","133,629","133,960","674,964","9","3","0","651","645","674,964","2","",
"1315","達新","0","0","0","246","246","49,500","0","0","0","0","0","49,500","0","",
"1316","上曜","70","54","83","8,064","7,997","20,282","0","5","0","5","10","20,282","0","",
"1319","東陽","117","108","1","12,323","12,331","147,869","2","7","0","33","38","147,869","0","",
"1321","大洋","25","20","0","3,095","3,100","56,807","0","0","0","8","8","56,807","0","",
"1323","永裕","11","3","0","4,172","4,180","22,818","0","0","0","0","0","22,818","0","",
"1324","地球","0","6","0","2,790","2,784","18,780","0","0","0","0","0","18,780","0","",
"1325","恆大","8","6","0","4,962","4,964","21,320","0","0","0","0","0","21,320","0","",
